time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
187,47104,23,491.34736842105264,251,-65.2335674631579,-2.680796717852354,42.92886378802359,220,0.0003,0.2,1.592388391494751,0.0115305595,-0.005863757905899547,0.044189453125,0.5859428644180298,,
190,49152,24,501.83505154639175,258,-65.95040112371134,-2.6865257412195205,73.60923859477043,230,0.0003,0.2,48.375831604003906,0.0076750927,-0.005103878557565622,0.08388671875,0.22974222898483276,,
,50000,,,,,-2.652349878847599,72.43946504965425,240,0.0003,0.2,7.246062278747559,0.011272641,-0.006194882655108813,0.166015625,0.41796576976776123,-86.57142868041993,992.0
199,51200,25,515.1515151515151,257,-66.63827180808082,,,,,,,,,,,,
201,53248,26,526.68,263,-67.39220159,-2.700268694758415,80.74168185517192,250,0.0003,0.2,5.059873104095459,0.009142313,-0.0024801478975859936,0.0275390625,0.4214022159576416,,
204,55296,27,541.15,269,-68.49899271,-2.6249698884785175,81.84586066454649,260,0.0003,0.2,4.191899299621582,0.011574171,-0.007338229293236509,0.06767578125,0.4888417720794678,,
207,57344,28,555.9,276,-68.94864686,-2.6349133774638176,86.61086122393608,270,0.0003,0.2,39.6246452331543,0.012493741,-0.007620564656099305,0.113232421875,0.5618733167648315,,
210,59392,29,571.44,281,-69.97274106,-2.6576451607048512,86.95720490589738,280,0.0003,0.2,22.065946578979492,0.008359676,-0.0034301921448786745,0.064404296875,0.5786538124084473,,
,60000,,,,,-2.6475902140140533,85.98452375382185,290,0.0003,0.2,31.74785041809082,0.0069818613,-0.0031323854578658938,0.017919921875,0.4955217242240906,-100.0,1000.0
219,61440,30,586.27,279,-70.07085804,,,,,,,,,,,,
222,63488,31,601.4,285,-71.06924091,-2.6129492968320847,76.94815062433482,300,0.0003,0.2,25.054861068725586,0.015445891,-0.0037623508302203844,0.124853515625,0.49141424894332886,,
225,65536,32,616.49,290,-71.66492543,-2.5852676697075365,86.86189713552594,310,0.0003,0.2,9.830883979797363,0.011424396,0.0013254800309368876,0.1537109375,0.45433342456817627,,
228,67584,33,632.93,296,-72.18582821,-2.676145417243242,82.2750879921019,320,0.0003,0.2,13.09225845336914,0.016133303,-0.009277319129614625,0.2498046875,0.53404700756073,,
230,69632,34,648.57,301,-72.74424926,-2.7231444358825683,79.50189545564353,330,0.0003,0.2,31.088781356811523,0.006698092,-0.006087861106789205,0.04775390625,0.40150612592697144,,
,70000,,,,,-2.699266703426838,81.48791840076447,340,0.0003,0.2,18.8518009185791,0.0052838526,-0.003665772353997454,0.022216796875,0.32720357179641724,-100.0,1000.0
239,71680,35,663.89,298,-73.85524926,,,,,,,,,,,,
242,73728,36,677.97,304,-73.97909793999999,-2.6993857726454733,85.90713685899973,350,0.0003,0.2,15.270563125610352,0.0054261256,-0.00514511581932311,0.0205078125,0.5683858394622803,,
245,75776,37,693.45,308,-74.75995021,-2.695646280795336,82.68768178857863,360,0.0003,0.2,3.929363965988159,0.0011441504,-0.0010988562808051938,0.00029296875,0.4878605008125305,,
248,77824,38,712.08,313,-75.50515854,-2.641179832071066,85.65948258414865,370,0.0003,0.2,3.888598680496216,0.0068968935,-0.004123131853702944,0.07744140625,0.5008750557899475,,
250,79872,39,726.97,318,-76.84479599000001,-2.6199959948658944,82.92569401040673,380,0.0003,0.2,31.298986434936523,0.011376565,-0.0070916049968218434,0.039794921875,0.572206974029541,,
,80000,,,,,-2.5625302508473395,69.61778501719236,390,0.0003,0.2,95.08845520019531,0.014315164,-0.006268947760327137,0.08876953125,0.5491582155227661,-100.0,1000.0
259,81920,40,739.41,315,-77.44792099,,,,,,,,,,,,
262,83968,41,752.32,319,-78.69725811,-2.527635133266449,46.98309048041701,400,0.0003,0.2,1.0995352268218994,0.023758877,-0.00046989774200483224,0.07783203125,0.7397714853286743,,
265,86016,42,774.89,324,-79.99136494,-2.516067747026682,73.57855161130428,410,0.0003,0.2,40.68498992919922,0.010020426,-0.005817893477797043,0.092578125,0.542380154132843,,
268,88064,43,788.36,328,-80.72298697000001,-2.5370845437049865,115.69669080376624,420,0.0003,0.2,47.34376525878906,0.012824414,-0.0074194479406287425,0.124365234375,0.5140125751495361,,
,90000,,,,,-2.6166581109166147,79.42629064917564,430,0.0003,0.2,12.183785438537598,0.013664022,-0.0063956176403735295,0.08427734375,0.5974209308624268,-100.0,1000.0
277,90112,44,801.2,324,-81.30381306,,,,,,,,,,,,
280,92160,45,813.53,328,-81.65649163,-2.5279452458024023,87.74332282543182,440,0.0003,0.2,1.7415286302566528,0.025622256,0.0023433977723470887,0.2310546875,0.6666528582572937,,
283,94208,46,827.62,332,-82.75365072000001,-2.282951023429632,85.62344115413725,450,0.0003,0.2,61.39987564086914,0.0181554,-0.005501541410922073,0.244091796875,0.5762752890586853,,
285,96256,47,840.48,336,-83.15865613,-2.287733907997608,75.63487776592373,460,0.0003,0.2,21.386917114257812,0.01287011,-0.0026605977123836055,0.076708984375,0.6038625240325928,,
288,98304,48,853.63,340,-84.39546169,-2.3576323270797728,68.23267272114754,470,0.0003,0.2,34.67508316040039,0.0033007031,-0.0030256583268055692,0.013037109375,0.5061330795288086,,
,100000,,,,,-2.2890826530754564,85.95268872976303,480,0.0003,0.2,34.42206573486328,0.010187173,-0.004793199736741372,0.0619140625,0.6832101941108704,-100.0,1000.0
297,100352,49,866.82,337,-85.31937472999999,,,,,,,,,,,,
300,102400,50,879.45,340,-86.37268994999998,-2.2391962692141534,88.66162751279771,490,0.0003,0.2,69.28863525390625,0.014821054,-0.004411329473805381,0.059765625,0.6021265387535095,,
303,104448,51,893.74,344,-87.06262502,-2.0680928260087965,74.79496615231037,500,0.0003,0.2,31.304141998291016,0.006237399,-0.0011879255122039466,0.0142578125,0.4635440707206726,,
305,106496,52,906.86,348,-88.39238691999999,-2.080448732897639,82.01361203864217,510,0.0003,0.2,12.47358512878418,0.008786605,-0.00623841105189058,0.0875,0.6122994422912598,,
308,108544,53,921.29,351,-89.49042003999999,-2.006891996785998,81.18918505683541,520,0.0003,0.2,6.954130172729492,0.011635046,-0.005179679076536559,0.20322265625,0.5944036841392517,,
,110000,,,,,-2.068508956581354,86.91282154805958,530,0.0003,0.2,37.52106857299805,0.001597236,-0.0013415194189292379,0.004833984375,0.6355597972869873,-100.0,1000.0
318,110592,54,933.13,347,-89.96792004,,,,,,,,,,,,
