time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
22528,11,117,-9.472022326086957,481.5217391304348,191,0.000341796875,100,-4.554931783676148,-0.0018133746605599299,0.7016605734825134,0.3734816312789917,0.8378406446427107,3e-05,0.1,0.0002767046,,
24576,12,116,-8.639157780000001,487.54,210,0.02861328125,110,-4.553404885530472,-0.007511472766054794,0.7959679216146469,0.011081762611865997,0.15093776010908186,3e-05,0.1,0.0015887286,,
26624,13,115,-8.801430685185187,482.05555555555554,230,0.00087890625,120,-4.553520554304123,-0.0030896949348971246,0.8422272801399231,0.00805426761507988,0.8281374486163259,3e-05,0.1,0.00043588373,,
28672,14,113,-8.622204189655173,486.1551724137931,251,0.0005859375,130,-4.550133329629898,-0.0032278409024002032,0.869479238986969,0.13628384470939636,0.6225400768220425,3e-05,0.1,0.00053413026,,
30000,,,,,,0.002685546875,140,-4.548972147703171,-0.0038798532536020503,0.7826968729496002,0.11595778167247772,0.6855387549847365,3e-05,0.1,0.00062223943,4.541334724426269,445.6
30720,15,111,-8.924448177419357,490.0806451612903,276,,,,,,,,,,,,
32768,16,110,-9.856981223880599,487.3134328358209,295,0.00126953125,150,-4.550156706571579,-0.002872003443189897,0.844990000128746,0.13615894317626953,0.7572789158672094,3e-05,0.1,0.00039992726,,
34816,17,110,-8.88182601408451,487.5211267605634,314,0.000439453125,160,-4.548335909843445,-0.0028874718089355158,0.8430901914834976,1.6915714740753174,5.134132315218449,3e-05,0.1,0.0004385519,,
36864,18,110,-9.631312853333334,490.84,334,0.00302734375,170,-4.551020151376724,-0.0039647749930736605,0.41069495677948,0.15966106951236725,1.113123159483075,3e-05,0.1,0.0006108463,,
38912,19,109,-9.233665556962025,490.3544303797468,353,0.0,180,-4.544599384069443,-0.001958751498023048,0.8036392331123352,2.164024829864502,4.203276409208774,3e-05,0.1,0.00025963192,,
40000,,,,,,0.00068359375,190,-4.547290205955505,-0.0030317238662973976,0.8050835281610489,0.7600378394126892,1.0875774722546339,3e-05,0.1,0.00046880072,-17.548631381988525,534.0
40960,20,106,-8.968978000000002,493.4578313253012,384,,,,,,,,,,,,
43008,21,106,-8.961962500000002,495.74418604651163,404,0.0,200,-4.547434175014496,-0.0021444900514325125,0.8533380627632141,0.24824365973472595,1.5172532733529807,3e-05,0.1,0.0002542305,,
45056,22,107,-8.862224988888888,500.3333333333333,419,0.004296875,210,-4.546688181161881,-0.0032409850042313336,0.9061674401164055,0.41485726833343506,1.2317647188901901,3e-05,0.1,0.0003754455,,
47104,23,108,-8.485228617021276,496.3936170212766,434,0.004150390625,220,-4.544503951072693,-0.003852696914691478,0.9099548682570457,1.2853891849517822,1.728920739516616,3e-05,0.1,0.0005100497,,
49152,24,108,-8.663271272727274,495.85858585858585,453,0.00224609375,230,-4.543504971265793,-0.002631235422450118,0.8134640902280807,0.31107139587402344,0.8202632606029511,3e-05,0.1,0.00031575823,,
50000,,,,,,0.0,240,-4.5419006764888765,-0.0016468582514789886,0.8875596299767494,1.2589479684829712,2.182129069417715,3e-05,0.1,0.00014299765,0.6633379459381104,531.4
51200,25,106,-8.42394048,501.92,481,,,,,,,,,,,,
53248,26,107,-8.14900484,502.73,496,0.025341796875,250,-4.540686970949173,-0.0070300675404723735,0.9587297961115837,0.10913022607564926,0.3349699501413852,3e-05,0.1,0.001539719,,
55296,27,107,-8.40626448,504.76,512,0.00078125,260,-4.536945426464081,-0.0028997630113735797,0.8508570492267609,0.8174923658370972,1.312576193921268,3e-05,0.1,0.00045871083,,
