time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
39,28672,14,311.1847826086956,721,-66.01642870652175,-2.946202650666237,28.537031799182294,130,0.0003,0.2,23.48027801513672,0.011634904,-0.008263641934172483,0.071630859375,0.8148523569107056,,
,30000,,,,,-2.8933771714568137,10.219584538042545,140,0.0003,0.2,10.989411354064941,0.0096231215,-0.007364301598863676,0.07666015625,0.7545030117034912,-53.74052429199219,703.2
46,30720,15,324.78723404255317,664,-66.03725346808511,,,,,,,,,,,,
48,32768,16,333.9381443298969,670,-66.01997464948454,-2.8345783181488513,33.88974157180637,150,0.0003,0.2,12.310105323791504,0.011918483,-0.010661356647324283,0.141845703125,0.4952419400215149,,
51,34816,17,346.01,678,-66.17496030000001,-2.7962239302694796,21.990907049924136,160,0.0003,0.2,3.785207986831665,0.013039948,-0.009825514795375056,0.143017578125,0.7998625636100769,,
53,36864,18,356.77,683,-66.16183978,-2.7331889264285563,45.00944168753922,170,0.0003,0.2,3.8468589782714844,0.01204094,-0.012767938609613338,0.18671875,0.5294302701950073,,
56,38912,19,374.51,689,-66.02714281,-2.683069659024477,41.79936512056738,180,0.0003,0.2,4.139784812927246,0.010387196,-0.004950475539953913,0.04833984375,0.5910251140594482,,
,40000,,,,,-2.6110185854136945,35.696000774018465,190,0.0003,0.2,1.5935903787612915,0.010799393,-0.003052127145201666,0.093017578125,0.5957485437393188,-73.68675842285157,856.6
63,40960,20,382.62,642,-65.91714281,,,,,,,,,,,,
66,43008,21,408.65,647,-66.76709546000001,-2.6811036191880704,2.0076199367642404,200,0.0003,0.2,1.929748773574829,0.016330786,-0.015376082027796657,0.18603515625,0.9367517232894897,,
68,45056,22,421.81,652,-67.67598939999999,-2.6693328894674777,83.47892566248774,210,0.0003,0.2,75.29484558105469,0.0046183793,-0.005198265232320409,0.008203125,0.5895130634307861,,
71,47104,23,436.36,658,-67.66944296000001,-2.6982229955494406,47.03916818536818,220,0.0003,0.2,2.137666940689087,0.009433245,-0.0056098377739544954,0.072607421875,0.7267436981201172,,
74,49152,24,450.82,663,-68.33681253,-2.7366329342126847,65.85763067305088,230,0.0003,0.2,94.59896850585938,0.007934403,-0.005299306308006635,0.08125,0.6399564743041992,,
,50000,,,,,-2.692430581152439,86.82809924185275,240,0.0003,0.2,130.89947509765625,0.009308465,-0.0046583358714997304,0.04833984375,0.5984233021736145,-72.19607887268066,883.0
81,51200,25,468.54,628,-68.82315764,,,,,,,,,,,,
84,53248,26,482.92,632,-69.73518415000001,-2.675388153642416,54.59488814882934,250,0.0003,0.2,53.59379959106445,0.008230386,-0.005816982054966502,0.068896484375,0.5426589250564575,,
86,55296,27,498.44,637,-70.99306458,-2.6477966248989104,81.54902527965605,260,0.0003,0.2,1.8732119798660278,0.0040994855,-0.002910265732498374,0.0052734375,0.6600468158721924,,
89,57344,28,513.25,642,-71.27745899,-2.650822491943836,78.36179001182317,270,0.0003,0.2,5.44891881942749,0.008217257,-0.005031338091794168,0.0697265625,0.7068133354187012,,
91,59392,29,528.89,645,-71.72870579,-2.6397843889892103,64.10479530915617,280,0.0003,0.2,26.515350341796875,0.009956044,-0.005247036857326748,0.070703125,0.4226282238960266,,
,60000,,,,,-2.6548528753221037,64.61762610320002,290,0.0003,0.2,1.4914050102233887,0.011276513,-0.004362038022372871,0.0662109375,0.6052126884460449,-100.0,1000.0
100,61440,30,544.0,612,-72.24991791,,,,,,,,,,,,
103,63488,31,558.9,615,-72.83460541000001,-2.601024004071951,68.63181040361523,300,0.0003,0.2,2.652862787246704,0.013668476,-0.0038137686780828515,0.228564453125,0.26458191871643066,,
105,65536,32,573.94,619,-73.68630996,-2.5569665975868703,86.95803605243563,310,0.0003,0.2,95.48764038085938,0.0071765287,-0.00460255580037483,0.0580078125,0.7522724270820618,,
108,67584,33,588.52,624,-74.34351105,-2.605770383030176,85.64787710905075,320,0.0003,0.2,26.838130950927734,0.012235401,-0.005220121110687615,0.03486328125,0.7103050947189331,,
110,69632,34,602.86,628,-74.94443078,-2.6393087178468706,74.25921292454004,330,0.0003,0.2,17.083633422851562,0.008972796,-0.004921908252435969,0.13642578125,0.6260603666305542,,
,70000,,,,,-2.6465402327477934,81.69081866256893,340,0.0003,0.2,80.65454864501953,0.017614812,-0.004246210453857202,0.119677734375,0.5105347633361816,-100.0,1000.0
119,71680,35,616.82,601,-75.01680578,,,,,,,,,,,,
121,73728,36,631.69,605,-75.49843456,-2.6801112361252306,84.33137643299997,350,0.0003,0.2,79.78629302978516,0.016031878,-0.005929130434378749,0.161376953125,0.3962576985359192,,
124,75776,37,643.5,609,-75.62719613,-2.6803039692342283,83.80276668518782,360,0.0003,0.2,161.80426025390625,0.010035127,-0.004719724574533757,0.188720703125,0.3107888698577881,,
126,77824,38,657.58,612,-76.15290063,-2.6325163945555685,68.22030972242355,370,0.0003,0.2,46.52180099487305,0.007271258,-0.005924564340966753,0.061328125,0.32138609886169434,,
129,79872,39,673.69,616,-76.84433438,-2.621435261517763,80.81190642938017,380,0.0003,0.2,9.974504470825195,0.0026305749,-0.0019456946047284873,0.00048828125,0.3873300552368164,,
,80000,,,,,-2.5795655228197574,66.60151786766946,390,0.0003,0.2,46.70845413208008,0.006132455,-0.002779992159048561,0.00810546875,0.6276819705963135,-100.0,1000.0
137,81920,40,686.36,595,-77.18949807,,,,,,,,,,,,
140,83968,41,701.47,599,-77.77620755,-2.538825935870409,79.26044188849627,400,0.0003,0.2,20.7296142578125,0.009072045,-0.0026649927778635172,0.037451171875,0.5042142868041992,,
142,86016,42,724.08,602,-78.86905623000001,-2.470371200889349,71.81363101936877,410,0.0003,0.2,21.765621185302734,0.0061957855,-0.004232736859557917,0.017578125,0.6286561489105225,,
145,88064,43,739.48,606,-78.90812548999999,-2.486482545733452,125.82269652187824,420,0.0003,0.2,116.45149993896484,0.018650597,-0.004396237069158815,0.18330078125,0.18599635362625122,,
,90000,,,,,-2.48400871604681,78.72620896324516,430,0.0003,0.2,66.95513916015625,0.008050237,-0.004871804718277417,0.077734375,0.37225645780563354,-100.0,1000.0
153,90112,44,751.96,587,-79.58260466,,,,,,,,,,,,
156,92160,45,766.56,590,-80.29700682999999,-2.4122467644512655,82.04262972213328,440,0.0003,0.2,43.00159454345703,0.011831207,-0.0003375523410795722,0.117724609375,0.2248293161392212,,
158,94208,46,780.88,594,-81.17314319,-2.3877914264798163,83.37130221202969,450,0.0003,0.2,65.43126678466797,0.007646297,-0.0071531222347402945,0.06787109375,0.5605391263961792,,
160,96256,47,795.54,598,-82.35699736000001,-2.4692840434610845,73.32059368118644,460,0.0003,0.2,43.49406433105469,0.0054333457,-0.001627887340146117,0.013232421875,0.30054497718811035,,
163,98304,48,809.19,601,-83.03973545000001,-2.4678113095462324,85.48790517449379,470,0.0003,0.2,34.00857925415039,0.008676428,-0.0056172021930251505,0.053271484375,0.48792314529418945,,
,100000,,,,,-2.464007656276226,86.70169947743416,480,0.0003,0.2,33.259498596191406,0.009018501,-0.004269289062358439,0.146435546875,0.4753929376602173,-100.0,1000.0
171,100352,49,822.11,585,-83.42103956999999,,,,,,,,,,,,
174,102400,50,836.16,588,-84.58220028,-2.417741683125496,81.4475646533072,490,0.0003,0.2,79.00592041015625,0.01483758,-0.003603685116104316,0.061572265625,0.39297622442245483,,
176,104448,51,849.68,591,-85.16876846,-2.396519322693348,88.23655798509716,500,0.0003,0.2,125.15235900878906,0.0057254825,-0.004342212688061409,0.067138671875,0.40713149309158325,,
179,106496,52,860.81,594,-86.03501845999999,-2.3863673500716684,85.67524240985513,510,0.0003,0.2,47.71925735473633,0.0078119794,-0.007560427952557802,0.051611328125,0.4735743999481201,,
181,108544,53,872.35,597,-86.75981013,-2.4285463877022266,78.0744558006525,520,0.0003,0.2,40.1390495300293,0.00955303,-0.005899348280217964,0.05283203125,0.3501846194267273,,
,110000,,,,,-2.458361230790615,75.48244968988001,530,0.0003,0.2,86.61119079589844,0.006331154,-0.004078911426768172,0.049169921875,0.42943447828292847,-100.0,1000.0
189,110592,54,884.94,583,-87.68769475,,,,,,,,,,,,
192,112640,55,896.83,586,-88.57055048000001,-2.4284438721835615,72.3743408292532,540,0.0003,0.2,31.544677734375,0.009789266,-0.006290016935963649,0.070947265625,0.6235793828964233,,
194,114688,56,906.82,589,-89.41481926,-2.471853642165661,85.56725302860141,550,0.0003,0.2,2.319838285446167,0.008260466,-0.0037164921333896926,0.041015625,0.38993167877197266,,
197,116736,57,917.98,591,-90.01481926000001,-2.4941782243549824,85.43236154988408,560,0.0003,0.2,21.280704498291016,0.003144119,-0.002317654683429282,0.000732421875,0.4210178852081299,,
199,118784,58,929.18,594,-91.24190259,-2.507185795158148,91.75253373533488,570,0.0003,0.2,12.187172889709473,0.0049546575,-0.0045417476394504774,0.0099609375,0.4608954191207886,,
,120000,,,,,-2.4782562755048274,83.28965546935797,580,0.0003,0.2,42.64973831176758,0.011570169,-0.00928512219543336,0.07392578125,0.5410230159759521,-100.0,1000.0
207,120832,59,941.03,581,-91.84417531999999,,,,,,,,,,,,
210,122880,60,951.82,584,-92.62986670999999,-2.443608932197094,72.68693670555949,590,0.0003,0.2,7.317694187164307,0.011122456,-0.005380349335609935,0.035302734375,0.30854928493499756,,
212,124928,61,961.86,587,-93.5420258,-2.3121119141578674,78.27124961987138,600,0.0003,0.2,5.257019996643066,0.013342019,-0.00881820197610068,0.162890625,0.6799254417419434,,
215,126976,62,973.71,590,-94.91816217,-2.388681188225746,74.19949510246515,610,0.0003,0.2,70.55493927001953,0.010653511,-0.0038518962828675285,0.1541015625,0.32195085287094116,,
217,129024,63,976.75,592,-95.76159165000001,-2.3491971991956233,89.2842881128192,620,0.0003,0.2,117.1182632446289,0.008094346,-0.006456514752790099,0.072900390625,0.6609398722648621,,
,130000,,,,,-2.2482409439980984,76.16824038550257,630,0.0003,0.2,47.685272216796875,0.010737348,0.0013779609056655318,0.160791015625,0.010125219821929932,-100.0,1000.0
225,131072,64,986.08,579,-96.61390116999999,,,,,,,,,,,,
228,133120,65,993.99,582,-97.47831628,-2.24691464304924,80.11003120839595,640,0.0003,0.2,22.105424880981445,0.008487511,-0.006075228513418551,0.0818359375,0.7049237489700317,,
231,135168,66,999.18,584,-97.93115719000001,-2.199554745107889,73.67354117333889,650,0.0003,0.2,55.5625,0.0068834564,-0.0061376032390398905,0.0923828125,0.5816744565963745,,
233,137216,67,999.18,587,-97.93115719,-2.1571769692003726,68.37870656438172,660,0.0003,0.2,44.70391082763672,0.012015082,-0.006064792274992214,0.1185546875,0.48129820823669434,,
236,139264,68,1004.52,589,-99.25689582999999,-2.1652916952967645,82.27633577212691,670,0.0003,0.2,49.321041107177734,0.0061312877,-0.0037434933001350146,0.0341796875,0.5168697834014893,,
,140000,,,,,-2.1127187579870226,88.40842803269625,680,0.0003,0.2,5.297815322875977,0.0066260966,-0.0033626691281824607,0.02421875,0.7923848032951355,-100.0,1000.0
244,141312,69,1000.0,578,-99.91377082999999,,,,,,,,,,,,
247,143360,70,1001.73,579,-100.007,-2.059447334706783,66.73922198116779,690,0.0003,0.2,45.62940216064453,0.010073821,-0.0035420883068582043,0.054931640625,0.6952505111694336,,
249,145408,71,1003.17,582,-100.0,-2.018696052953601,74.28549917414784,700,0.0003,0.2,36.14502716064453,0.0056990664,-0.003700218998346827,0.018994140625,0.6943222880363464,,
252,147456,72,1003.17,584,-100.0,-2.027105477824807,74.14559394046664,710,0.0003,0.2,29.016075134277344,0.0108142365,-0.003509879308694508,0.051708984375,0.6714845895767212,,
254,149504,73,1003.17,586,-100.0,-2.0629032500088216,85.63968593031169,720,0.0003,0.2,39.511749267578125,0.011779468,-0.008702729917422403,0.084619140625,0.7950882315635681,,
,150000,,,,,-2.0314982857555153,68.28204141780733,730,0.0003,0.2,75.4998550415039,0.011470794,-0.005970219562004786,0.0857421875,0.5501406788825989,-100.0,1000.0
262,151552,74,1000.0,576,-100.0,,,,,,,,,,,,
265,153600,75,1000.0,578,-100.0,-2.0421512641012667,37.89369399100542,740,0.0003,0.2,9.923158645629883,0.01042395,-0.004625438767106971,0.078369140625,0.5806007385253906,,
267,155648,76,1000.0,580,-100.0,-2.051221365481615,88.66631957739591,750,0.0003,0.2,91.0276870727539,0.011079152,-0.004215893323998898,0.006640625,0.7135928869247437,,
270,157696,77,1000.0,582,-100.0,-2.0280145347118377,79.74759754389524,760,0.0003,0.2,23.8309268951416,0.011267317,-0.007142711935739498,0.112939453125,0.7137504816055298,,
273,159744,78,1000.0,584,-100.0,-1.9399768453091384,83.50527453273534,770,0.0003,0.2,88.01399230957031,0.0146690365,-0.00689284825566574,0.143896484375,0.8246212005615234,,
,160000,,,,,-1.913548482209444,71.4229045510292,780,0.0003,0.2,8.615398406982422,0.0057645356,-0.005442904598021414,0.041552734375,0.5831849575042725,-100.0,1000.0
281,161792,79,1000.0,575,-100.0,,,,,,,,,,,,
283,163840,80,1000.0,577,-100.0,-1.8845720373094081,75.43773164302111,790,0.0003,0.2,3.004863977432251,0.008087087,-0.004356663217185997,0.12060546875,0.45555877685546875,,
286,165888,81,1000.0,579,-100.0,-1.9232581950724126,83.06943400353194,800,0.0003,0.2,10.217632293701172,0.0013314646,-0.0016842892873683013,0.000634765625,0.7942272424697876,,
288,167936,82,1000.0,581,-100.0,-1.9190257981419563,78.4286847114563,810,0.0003,0.2,4.570316314697266,0.0054895645,-0.0017060904487152585,0.0095703125,0.7041645050048828,,
291,169984,83,1000.0,583,-100.0,-1.774223518371582,74.54498899877072,820,0.0003,0.2,43.90006637573242,0.010211284,-0.0035077225053100846,0.0291015625,0.6954314708709717,,
,170000,,,,,-1.6868631657212974,58.11065352410078,830,0.0003,0.2,4.313258171081543,0.004971726,-0.0032315669770468956,0.016162109375,0.7618781328201294,-100.0,1000.0
299,172032,84,1000.0,574,-100.0,,,,,,,,,,,,
302,174080,85,1000.0,576,-100.0,-1.7883961260318757,84.42410404034891,840,0.0003,0.2,52.17109298706055,0.0206412,-0.002247813486610539,0.108349609375,0.26738959550857544,,
304,176128,86,1000.0,578,-100.0,-1.765774293616414,77.27151832524687,850,0.0003,0.2,0.42393893003463745,0.008003224,-0.0019821582798613237,0.197607421875,0.0008188486099243164,,
307,178176,87,1000.0,580,-100.0,-1.7797779627144337,79.00613507181406,860,0.0003,0.2,36.14973068237305,0.0026362543,-0.0022018349631252932,0.00146484375,0.7281724214553833,,
,180000,,,,,-1.7870674654841423,64.19900035001338,870,0.0003,0.2,14.51768970489502,0.004635126,-0.0028850426577264445,0.062451171875,0.789474606513977,-100.0,1000.0
315,180224,88,1000.0,572,-100.0,,,,,,,,,,,,
317,182272,89,1000.0,574,-100.0,-1.7447351969778537,73.31242689266801,880,0.0003,0.2,4.402827739715576,0.0077807037,-0.0024010953242395773,0.014599609375,0.3397483229637146,,
320,184320,90,1000.0,575,-100.0,-1.7236101057380437,72.12892639636993,890,0.0003,0.2,45.69179916381836,0.014821237,-0.005039780979132047,0.0486328125,0.842147707939148,,
322,186368,91,1000.0,577,-100.0,-1.6529868327081203,79.43455060049891,900,0.0003,0.2,93.83264923095703,0.0082991915,-0.005005615585832857,0.10283203125,0.4250904321670532,,
325,188416,92,1000.0,579,-100.0,-1.6323217671364545,78.32472777366638,910,0.0003,0.2,23.265426635742188,0.011775449,-0.0030888010798662434,0.070166015625,0.17538553476333618,,
,190000,,,,,-1.6139151260256768,66.34820136129856,920,0.0003,0.2,49.33665084838867,0.0070917495,-0.0016588940598012414,0.002099609375,0.7692688703536987,-100.0,1000.0
332,190464,93,1000.0,572,-100.0,,,,,,,,,,,,
335,192512,94,1000.0,574,-100.0,-1.6147494789212942,77.62727438360453,930,0.0003,0.2,22.78855323791504,0.005555935,-0.00474464036669815,0.07763671875,0.4522838592529297,,
337,194560,95,1000.0,575,-100.0,-1.5230273723602294,74.33146631419659,940,0.0003,0.2,55.443477630615234,0.006205529,-0.005237289430806413,0.0697265625,0.8094585537910461,,
340,196608,96,1000.0,577,-100.0,-1.5606265917420388,73.71759926527739,950,0.0003,0.2,79.0860366821289,0.008436231,-0.004117501224391163,0.062890625,0.6750802397727966,,
342,198656,97,1000.0,579,-100.0,-1.6617438394576312,81.42189585976303,960,0.0003,0.2,4.588259220123291,0.004433561,-0.005243806789803784,0.12568359375,0.12933874130249023,,
,200000,,,,,-1.5805678896605968,67.2359837166965,970,0.0003,0.2,13.525934219360352,0.0056342892,-0.0049354230432072654,0.059423828125,0.511978030204773,-100.0,1000.0
350,200704,98,1000.0,572,-100.0,,,,,,,,,,,,
353,202752,99,1000.0,573,-100.0,-1.6393841162323952,82.73626140356063,980,0.0003,0.2,9.31126594543457,0.009661341,-0.0019811993985058506,0.047216796875,0.21102666854858398,,
356,204800,100,1000.0,575,-100.0,-1.6054716739803552,73.26073549315333,990,0.0003,0.2,16.33922576904297,0.010866344,-0.0032769178615126293,0.127783203125,-0.013225078582763672,,
358,206848,101,1000.0,576,-100.0,-1.542532018944621,91.18696451485157,1000,0.0003,0.2,26.796236038208008,0.010795413,-0.005379750685824547,0.06943359375,0.7652777433395386,,
361,208896,102,1000.0,578,-100.0,-1.5439806897193193,71.79284287542104,1010,0.0003,0.2,10.790772438049316,0.0068656895,-0.003920348986866884,0.06162109375,0.7442063093185425,,
,210000,,,,,-1.5638924051076173,62.1844254527241,1020,0.0003,0.2,60.94572448730469,0.007587135,-0.0024370910330617336,0.066162109375,0.4020155668258667,-100.0,1000.0
369,210944,103,1000.0,571,-100.0,,,,,,,,,,,,
371,212992,104,1000.0,572,-100.0,-1.4704629898071289,73.11390521004796,1030,0.0003,0.2,5.212592124938965,0.007060431,-0.00322529222103185,0.069873046875,0.1922871470451355,,
374,215040,105,1000.0,574,-100.0,-1.547951204702258,80.55443912968039,1040,0.0003,0.2,119.60712432861328,0.010626119,-0.004467059415037511,0.11064453125,0.3982110023498535,,
376,217088,106,1000.0,575,-100.0,-1.4825690031051635,116.78013280108571,1050,0.0003,0.2,34.90970993041992,0.011558402,-0.003751277583069168,0.0609375,0.6230849027633667,,
379,219136,107,1000.0,577,-100.0,-1.3590134900063275,90.32710203155875,1060,0.0003,0.2,9.063096046447754,0.008241671,-0.0014204143946699333,0.090771484375,0.6410164833068848,,
,220000,,,,,-1.2366154663264752,89.77769098207355,1070,0.0003,0.2,8.191437721252441,0.007755126,-0.003735612807213329,0.03740234375,0.6306600570678711,-100.0,1000.0
387,221184,108,1000.0,570,-100.0,,,,,,,,,,,,
389,223232,109,1000.0,572,-100.0,-1.1963440790772437,82.84479701668025,1080,0.0003,0.2,63.36463928222656,0.006899875,-0.00036040192644577474,0.046875,0.44465702772140503,,
392,225280,110,1000.0,573,-100.0,-1.0146620281040668,68.7165098309517,1090,0.0003,0.2,1.825063705444336,0.0053431885,-0.0015084533806657419,0.05341796875,0.3858168125152588,,
395,227328,111,1000.0,575,-100.0,-0.9814863139763474,88.71913759261369,1100,0.0003,0.2,12.325395584106445,0.00378181,-0.002165326911926968,0.024072265625,0.6851528882980347,,
397,229376,112,1000.0,576,-100.0,-1.0207261001691221,83.82047297935932,1110,0.0003,0.2,40.21409225463867,0.0023364266,-0.000486972803628305,0.042431640625,0.10380959510803223,,
,230000,,,,,-1.068959441408515,87.05384318828582,1120,0.0003,0.2,57.152645111083984,0.0056754462,-0.0036247694974008483,0.0408203125,0.4402790665626526,-100.0,1000.0
405,231424,113,1000.0,570,-100.0,,,,,,,,,,,,
753,233472,114,1000.0,309,-100.0,-1.0642110688611865,89.71999880224466,1130,0.0003,0.2,9.46533489227295,0.0012880943,-0.001635933822763036,0.05,0.6958646774291992,,
756,235520,115,1000.0,311,-100.0,-1.0286659337580204,83.7782346656546,1140,0.0003,0.2,11.774805068969727,0.0043830643,-0.0022969418794673404,0.079296875,0.13556510210037231,,
758,237568,116,1000.0,313,-100.0,-1.0538606507703663,77.57624638527632,1150,0.0003,0.2,4.437476634979248,0.0037174881,-0.001990937805021531,0.067529296875,0.1531727910041809,,
761,239616,117,1000.0,314,-100.0,-1.1329970121383668,79.95205382928252,1160,0.0003,0.2,7.232721328735352,0.004601189,-0.002679948067088844,0.086181640625,0.289534330368042,,
,240000,,,,,-1.0689864987507463,71.13380469530821,1170,0.0003,0.2,53.330570220947266,0.005351223,-0.0008223301174439257,0.014501953125,0.35123372077941895,-100.0,1000.0
769,241664,118,1000.0,314,-100.0,,,,,,,,,,,,
771,243712,119,1000.0,315,-100.0,-1.0448515525087714,81.05598320811987,1180,0.0003,0.2,47.84059143066406,0.0052538505,-0.0012666371316299775,0.021484375,0.47141700983047485,,
774,245760,120,1000.0,317,-100.0,-1.0726527228951455,54.594809756428006,1190,0.0003,0.2,10.571758270263672,0.005520327,-0.0033952642283111346,0.05751953125,0.5690619945526123,,
776,247808,121,1000.0,318,-100.0,-1.1385232906788587,70.26796924732625,1200,0.0003,0.2,72.15245056152344,0.0022543008,-0.00033203957427758725,0.024853515625,0.4272218942642212,,
779,249856,122,1000.0,320,-100.0,-1.1734311036765575,76.24676315784454,1210,0.0003,0.2,7.810778617858887,0.005216358,-0.00327839157962444,0.0693359375,0.6406135559082031,,
,250000,,,,,-1.2779617100954055,77.57622181177139,1220,0.0003,0.2,12.075655937194824,0.0043075006,-0.0028887498541735114,0.101025390625,0.31461113691329956,-100.0,1000.0
786,251904,123,1000.0,320,-100.0,,,,,,,,,,,,
789,253952,124,1000.0,321,-100.0,-1.3717703495174647,75.44127365499735,1230,0.0003,0.2,5.452925682067871,0.008330577,-0.00114234996799496,0.080029296875,0.6008570194244385,,
792,256000,125,1000.0,323,-100.0,-1.5037456933408975,73.84475327692925,1240,0.0003,0.2,3.6936609745025635,0.0101513425,-0.004181180533487349,0.090673828125,0.38224416971206665,,
794,258048,126,1000.0,324,-100.0,-1.4826047737151384,65.75950056761504,1250,0.0003,0.2,8.355645179748535,0.0046693906,-0.0034868844340962823,0.03828125,0.3116474151611328,,
,260000,,,,,-1.4094546299427748,89.8178544819355,1260,0.0003,0.2,3.3181707859039307,0.008979048,-0.003007394673477393,0.116357421875,0.662822961807251,-100.0,1000.0
801,260096,127,1000.0,324,-100.0,,,,,,,,,,,,
804,262144,128,1000.0,325,-100.0,-1.3974240798503161,80.95322243720292,1270,0.0003,0.2,7.019409656524658,0.005547339,-0.004383593742386438,0.079150390625,0.5688388347625732,,
806,264192,129,1000.0,327,-100.0,-1.2606496576219797,75.25439689382911,1280,0.0003,0.2,90.80984497070312,0.007338475,-0.0039972084712644575,0.06220703125,0.5438432693481445,,
809,266240,130,1000.0,328,-100.0,-1.316874235123396,71.6591474160552,1290,0.0003,0.2,59.70817184448242,0.0066931183,-0.0029659492029168177,0.089697265625,0.5359954833984375,,
811,268288,131,1000.0,330,-100.0,-1.23410237506032,64.80656566768884,1300,0.0003,0.2,2.4097516536712646,0.004015911,-0.0032749059617344757,0.036962890625,0.8325084447860718,,
,270000,,,,,-1.2331265900284052,83.17376781776548,1310,0.0003,0.2,8.794099807739258,0.0036357879,-0.0010512256969377632,0.015625,0.524777352809906,-100.0,1000.0
819,270336,132,1000.0,329,-100.0,,,,,,,,,,,,
822,272384,133,1000.0,331,-100.0,-1.2911839324980974,80.3900950551033,1320,0.0003,0.2,4.2361884117126465,0.0036771814,3.8780522299930456e-05,0.03779296875,0.026723802089691162,,
824,274432,134,1000.0,332,-100.0,-1.2839646883308888,63.61929543018341,1330,0.0003,0.2,23.99553871154785,0.0049099247,-0.0009204846384818666,0.027734375,0.2549930214881897,,
