time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
24,113,-1.53828395,94.15,432,49152,3e-05,6.703462439775467,1.8984744548797607,0.8041183352470398,230,0.00029003568,-3.19273641705513,0.0,-0.002484192975680344,0.1,,
,,,,,50000,3e-05,5.5140655875206,1.4453506469726562,0.8016402721405029,240,0.00047883598,-3.18581902384758,9.765625e-05,-0.003417606378206983,0.1,5.0384791642427444,95.8
25,119,-1.35234993,93.22,429,51200,,,,,,,,,,,,
26,123,0.4862690800000001,93.78,430,53248,3e-05,7.292880150675773,1.5305007696151733,0.7110955715179443,250,0.00022048948,-3.1527513444423674,0.0,-0.001987130133784376,0.1,,
27,128,0.09756944000000001,93.76,431,55296,3e-05,4.723703737556934,0.8842678070068359,0.7813244462013245,260,0.00041818843,-3.1994651436805723,4.8828125e-05,-0.0027207519829971715,0.1,,
28,132,2.0447694500000004,93.95,431,57344,3e-05,6.31169741153717,1.3392183780670166,0.7747763395309448,270,0.0004387993,-3.2018092393875124,0.000244140625,-0.0029067835479509086,0.1,,
29,137,1.08434873,93.58,432,59392,3e-05,6.011685675382614,1.210556983947754,0.7439244985580444,280,0.0004985139,-3.171353778243065,0.000244140625,-0.0028942402597749604,0.1,,
,,,,,60000,3e-05,6.5842217087745665,2.1691997051239014,0.7891865968704224,290,0.0003725379,-3.1244351267814636,0.0,-0.0027308893506415187,0.1,-7.732357215881348,106.4
30,143,1.9214718299999998,93.91,429,61440,,,,,,,,,,,,
31,147,2.5058531399999997,92.49,430,63488,3e-05,6.481286513805389,1.3870985507965088,0.8333112001419067,300,0.00023377602,-3.1636168271303178,0.0,-0.0018759862869046628,0.1,,
32,152,3.4508643699999997,93.49,430,65536,3e-05,8.197618252038955,2.1450891494750977,0.8272859454154968,310,0.00041414655,-3.155432015657425,0.0,-0.002356240412336774,0.1,,
33,157,2.38130096,93.31,429,67584,3e-05,4.488331031799317,1.152625560760498,0.8350430727005005,320,0.00041959246,-3.1785579174757004,0.000244140625,-0.002774888862040825,0.1,,
34,162,3.3825957600000005,92.36,429,69632,3e-05,6.4119977205991745,1.4449166059494019,0.7289804220199585,330,0.00046942825,-3.1503068029880525,0.000439453125,-0.003355888114310801,0.1,,
,,,,,70000,3e-05,8.042200925946236,3.2630391120910645,0.8195391893386841,340,0.00064897805,-3.1590753346681595,9.765625e-05,-0.003399560262914747,0.1,1.8811321020126344,101.6
35,167,1.7771376200000004,94.24,427,71680,,,,,,,,,,,,
36,172,0.7091578100000002,95.73,427,73728,3e-05,8.08495283126831,4.575493812561035,0.804254412651062,350,0.00050884637,-3.1391422033309935,0.0,-0.003170766981202178,0.1,,
37,176,2.8870256699999994,93.88,428,75776,3e-05,5.635018172860145,1.3566911220550537,0.7842009663581848,360,0.00025573187,-3.1639935672283173,0.0,-0.0018940334091894328,0.1,,
38,181,4.59894908,93.21,428,77824,3e-05,4.353050719201565,1.0611389875411987,0.8406820297241211,370,0.0009032123,-3.140245097875595,0.004248046875,-0.0035925114410929383,0.1,,
39,186,5.409592819999999,92.34,429,79872,3e-05,4.632290837168694,1.3743451833724976,0.8360580801963806,380,0.0008528052,-3.1121030122041704,0.007763671875,-0.0041403874522075055,0.1,,
,,,,,80000,3e-05,5.318892246484756,1.1432348489761353,0.7473081350326538,390,0.0006642402,-3.121431878209114,0.0001953125,-0.0033220885088667274,0.1,5.216967475414276,96.6
40,191,5.31411532,93.2,426,81920,,,,,,,,,,,,
