time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
116,-15.415657249999999,36,73728,68.23,635,-0.009644996548013296,0.0003,0.2,-1.4906505446881055,1.3044544458389282,350,0.083984375,0.7534833550453186,0.008290146,4.978460591286421,,
119,-16.10027199,37,75776,68.44,635,-0.009302539558848365,0.0003,0.2,-1.4552721805870532,0.9467700719833374,360,0.1001953125,0.7643084526062012,0.009868929,4.2739359334111215,,
122,-13.56745252,38,77824,66.93,636,-0.010822000100597506,0.0003,0.2,-1.5375903308391572,2.5647006034851074,370,0.0900390625,0.8123571872711182,0.009036824,5.180637139827013,,
125,-14.252732730000002,39,79872,67.74,636,-0.008616569067817182,0.0003,0.2,-1.5111982110887765,0.9311033487319946,380,0.088916015625,0.6049427390098572,0.010371568,3.996452381834388,,
,,,80000,,,-0.011160830015433021,0.0003,0.2,-1.5219611052423716,0.9898439049720764,390,0.0908203125,0.7177028656005859,0.012335811,3.7587807584553956,-9.488555526733398,62.4
128,-13.69672248,40,81920,68.62,635,,,,,,,,,,,,
132,-13.122059799999999,41,83968,67.99,635,-0.00864176297764061,0.0003,0.2,-1.4930010702461005,1.2616348266601562,400,0.069140625,0.7299267053604126,0.008082282,5.2617887407541275,,
135,-13.432262660000001,42,86016,67.81,636,-0.008787289609608706,0.0003,0.2,-1.4753654442727566,0.8380669355392456,410,0.08603515625,0.8100308179855347,0.008430631,3.4449560146778824,,
138,-12.198873460000002,43,88064,67.08,636,-0.008756633637676713,0.0003,0.2,-1.4464329551905393,1.7260528802871704,420,0.041748046875,0.7841429114341736,0.006727442,3.8674846861511467,,
,,,90000,,,-0.008725398169917752,0.0003,0.2,-1.4486950602382422,1.266777515411377,430,0.098193359375,0.7667694091796875,0.008519789,3.8815180018544195,-13.9057373046875,66.0
141,-11.49763977,44,90112,67.99,634,,,,,,,,,,,,
145,-11.04162789,45,92160,68.14,635,-0.013006908408715389,0.0003,0.2,-1.4079156268388033,1.2729238271713257,440,0.0876953125,0.8523491621017456,0.009365942,3.0967262560501694,,
148,-11.565432329999998,46,94208,68.8,635,-0.007940977878024568,0.0003,0.2,-1.3850210048258305,2.33943510055542,450,0.0619140625,0.7351020574569702,0.0077524823,4.62535393871367,,
151,-10.6089006,47,96256,68.08,636,-0.008575161247426877,0.0003,0.2,-1.4127649191766978,0.3557930886745453,460,0.104248046875,0.7284289002418518,0.007701504,2.4281579349189997,,
154,-10.178949029999998,48,98304,67.35,636,-0.012625686092360412,0.0003,0.2,-1.4120636627078056,0.641265332698822,470,0.118115234375,0.8121110796928406,0.010625403,2.5347791388630867,,
,,,100000,,,-0.009978945198236033,0.0003,0.2,-1.4243370477110147,1.3388689756393433,480,0.081005859375,0.7219547033309937,0.0077525037,4.820236073806882,-10.272660398483277,70.2
158,-9.66951411,49,100352,67.39,634,,,,,,,,,,,,
161,-9.692947679999998,50,102400,67.93,635,-0.0072877970640547575,0.0003,0.2,-1.36921788752079,0.9961398243904114,490,0.05595703125,0.7298071980476379,0.0073841377,5.393113451451063,,
164,-9.245202420000002,51,104448,67.69,635,-0.007580783798766788,0.0003,0.2,-1.3726430777460337,1.1758146286010742,500,0.07109375,0.6901704668998718,0.009863092,3.393121016398072,,
167,-10.26486646,52,106496,68.23,635,-0.010983973075053655,0.0003,0.2,-1.3717300452291965,0.9103010892868042,510,0.103466796875,0.7333281636238098,0.010724371,3.00974533315748,,
170,-9.509528199999998,53,108544,68.07,636,-0.008604735146218446,0.0003,0.2,-1.3417515221983194,1.4805970191955566,520,0.081494140625,0.7540158033370972,0.008772658,3.2331951521337032,,
,,,110000,,,-0.006091581461078022,0.0003,0.2,-1.3009037483483552,0.9150290489196777,530,0.063134765625,0.7420946955680847,0.008918408,3.2747854091227055,-4.427018642425537,64.2
174,-9.75625474,54,110592,69.07,634,,,,,,,,,,,,
177,-8.55390609,55,112640,68.83,634,-0.009499954596685711,0.0003,0.2,-1.3141966991126537,1.172235131263733,540,0.070166015625,0.8138652443885803,0.009453338,3.2194579038769007,,
180,-9.270805260000001,56,114688,68.83,635,-0.007376996426319238,0.0003,0.2,-1.27568602822721,1.2061877250671387,550,0.07197265625,0.6994401812553406,0.0092306435,3.20988290887326,,
183,-9.90892174,57,116736,68.98,635,-0.011899131667451001,0.0003,0.2,-1.2911986403167248,1.3369793891906738,560,0.10029296875,0.7451056241989136,0.0092517305,3.42219551615417,,
186,-9.27945623,58,118784,68.58,635,-0.010861057278816588,0.0003,0.2,-1.3100103870034219,1.521342158317566,570,0.103173828125,0.6855032444000244,0.008681358,3.5992673922330143,,
,,,120000,,,-0.0076821923947136385,0.0003,0.2,-1.285795159265399,0.6673121452331543,580,0.0783203125,0.7248803377151489,0.0088677555,3.2406663686037063,-9.293629521131516,65.4
190,-9.09292445,59,120832,68.47,634,,,,,,,,,,,,
193,-8.20122562,60,122880,68.5,634,-0.0075723616668256,0.0003,0.2,-1.2692773945629596,1.1996361017227173,590,0.072998046875,0.7308189868927002,0.008523209,3.06005248632282,,
