time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
208,275,57344,38.97,42.45838768999999,28,0.7234514653682709,0.0003,0.140625,270,0.9527849555015564,4.405296531692147,-1.3646680302917957,-0.024568297536461614,0.2,0.012240507,,
207,285,59392,39.03,42.40104027,29,0.7394900321960449,0.0003,0.129541015625,280,0.8718356490135193,3.1815724592655896,-1.3660926301032306,-0.02344594926253194,0.2,0.014097642,,
,,60000,,,,0.787960559129715,0.0003,0.1724609375,290,1.2790913581848145,2.601944389939308,-1.3744048845022916,-0.02314784817863256,0.2,0.014661299,39.963311767578126,37.2
202,303,61440,39.04,42.27623623,30,,,,,,,,,,,,
200,316,63488,37.63,41.73842865,31,0.7776216864585876,0.0003,0.14951171875,300,0.5604473948478699,2.520756849646568,-1.3664427116513251,-0.022389512574591208,0.2,0.015413219,,
197,331,65536,37.62,41.18308555000001,32,0.6852705478668213,0.0003,0.130859375,310,1.479392409324646,4.434516858682036,-1.3430675700306893,-0.024351432877301703,0.2,0.014172054,,
195,345,67584,37.59,41.02577092000001,33,0.7191989421844482,0.0003,0.16572265625,320,1.254260778427124,3.950272639840841,-1.3335090074688196,-0.029625388624845074,0.2,0.016777914,,
193,360,69632,37.29,41.31315789,34,0.6872379183769226,0.0003,0.135205078125,330,1.305635929107666,4.325625712797046,-1.305964320898056,-0.02211682462511817,0.2,0.013544442,,
,,70000,,,,0.7100219428539276,0.0003,0.157666015625,340,1.3027139902114868,3.987656883522868,-1.3115708250552416,-0.025122809743334074,0.2,0.014942387,45.054412078857425,37.2
191,375,71680,38.47,42.140111399999995,35,,,,,,,,,,,,
