time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
22,118,-1.9912505100000004,95.53,381,45056,3e-05,6.929841062426567,1.9169596433639526,0.6558182239532471,210,0.00023601117,-3.183725914359093,0.0,-0.001963695912854746,0.1,,
23,123,-0.2956627100000001,94.96,381,47104,3e-05,4.954116220772266,1.0291818380355835,0.807951807975769,220,0.00063468574,-3.170277166366577,0.000244140625,-0.003392193967010826,0.1,,
24,128,0.4286558900000001,94.73,382,49152,3e-05,3.6778101831674577,0.7483593821525574,0.8401988744735718,230,0.0005426585,-3.1919135838747024,0.00068359375,-0.0025985052954638375,0.1,,
,,,,,50000,3e-05,5.099492990970612,1.0513302087783813,0.8289940357208252,240,0.00057847885,-3.157705655694008,0.0,-0.003154649955467903,0.1,2.4810268878936768,97.2
25,135,0.4987081099999997,95.26,378,51200,,,,,,,,,,,,
26,140,1.4929923299999999,94.05,379,53248,3e-05,4.785477805137634,0.8531515598297119,0.7316074371337891,250,0.000557767,-3.13835446536541,0.0,-0.003316604145220481,0.1,,
27,145,2.0189189,94.07,380,55296,3e-05,5.29937125146389,1.064294457435608,0.7987480759620667,260,0.00046692838,-3.156653490662575,9.765625e-05,-0.0025880374043481423,0.1,,
28,150,2.17917381,93.83,381,57344,3e-05,4.2083779409527775,0.9095231294631958,0.7222821712493896,270,0.000528606,-3.148949146270752,4.8828125e-05,-0.002681948289682623,0.1,,
29,155,2.58071272,93.92,381,59392,3e-05,7.281476235389709,2.694624185562134,0.7070180773735046,280,0.00023583486,-3.1367637038230898,0.0,-0.0015940308949211612,0.1,,
,,,,,60000,3e-05,5.105608971416951,1.550621509552002,0.7868562936782837,290,0.00107275,-3.141587972640991,0.005859375,-0.004239128076005727,0.1,9.286348247528077,97.0
30,162,3.4398623700000006,93.26,378,61440,,,,,,,,,,,,
31,168,3.0611697999999996,93.0,377,63488,3e-05,3.867611567676067,0.8395754098892212,0.8060024976730347,300,0.0006288172,-3.1290259152650832,0.00078125,-0.0028624178114114327,0.1,,
32,173,3.41018808,92.9,377,65536,3e-05,3.248021537065506,0.5466397404670715,0.6995913982391357,310,0.0012088545,-3.1197157591581344,0.010693359375,-0.004731651625479572,0.1,,
33,178,5.451081180000002,92.61,378,67584,3e-05,7.967476025223732,2.5141382217407227,0.7920913696289062,320,0.00047080748,-3.124180883169174,0.000732421875,-0.002574719546828419,0.1,,
34,183,5.56461173,92.79,378,69632,3e-05,5.1020593523979185,0.9819820523262024,0.8056372404098511,330,0.0006176578,-3.0953014492988586,0.00078125,-0.0031769665190950038,0.1,,
,,,,,70000,3e-05,3.794407586753368,0.8117937445640564,0.7445112466812134,340,0.0006719389,-3.112127184867859,0.001611328125,-0.0031212817411869764,0.1,-3.834553337097168,94.8
35,190,6.49698576,93.18,376,71680,,,,,,,,,,,,
36,195,6.069306629999999,93.96,377,73728,3e-05,3.7187375321984293,0.8900907039642334,0.7782185077667236,350,0.0013169681,-3.096042412519455,0.006005859375,-0.004712672514142468,0.1,,
37,200,4.4030219399999995,94.87,377,75776,3e-05,6.230624520778656,1.1354094743728638,0.6779489517211914,360,0.00035183772,-3.0967553734779356,0.0,-0.001875353220384568,0.1,,
38,205,3.84733324,95.42,378,77824,3e-05,4.493640127778053,1.066369652748108,0.6766210794448853,370,0.0004133312,-3.1029683232307432,0.0,-0.00217243728984613,0.1,,
39,210,2.8991112300000004,95.16,379,79872,3e-05,3.727399545907974,0.6088973879814148,0.7094679474830627,380,0.0009568826,-3.127403184771538,0.00322265625,-0.0036889339797198774,0.1,,
