time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
,,20000,,,,0.7838434427976608,0.0003,0.091015625,90,1.7214674949645996,5.653178442642092,-3.1176916636526584,-0.019488800239923876,0.2,0.010411253,24.086309051513673,154.4
691,29,20480,170.24,6.980735399999999,10,,,,,,,,,,,,
691,32,22528,173.09,7.422641729999999,11,0.8226839005947113,0.0003,0.100439453125,100,0.5492405295372009,2.8507751556113363,-3.13099669367075,-0.02119077823808766,0.2,0.011160868,,
689,35,24576,173.3,7.55614814,12,0.7815196663141251,0.0003,0.072998046875,110,1.2439608573913574,2.6889343462884425,-3.128574288636446,-0.015350633436901262,0.2,0.008851242,,
693,38,26624,170.77,8.52979455,13,0.8198678195476532,0.0003,0.09736328125,120,4.893936634063721,7.0789739960804585,-3.1241027295589445,-0.01779889873578213,0.2,0.010618591,,
694,41,28672,165.04,9.157903889999998,14,0.8173022866249084,0.0003,0.096240234375,130,0.8409143090248108,3.4033508736640217,-3.1228769704699517,-0.018587987816135864,0.2,0.010945141,,
,,30000,,,,0.8707656860351562,0.0003,0.117333984375,140,0.5115976333618164,1.948306238744408,-3.1142300382256507,-0.021776177697756794,0.2,0.012356956,20.564248657226564,183.6
683,44,30720,168.29,9.67111766,15,,,,,,,,,,,,
685,47,32768,170.74,10.03634771,16,0.6950874030590057,0.0003,0.110400390625,150,0.37136542797088623,2.743444551154971,-3.123147486150265,-0.01979282373940805,0.2,0.011079315,,
688,50,34816,170.85,10.617860150000002,17,0.7626131027936935,0.0003,0.16748046875,160,0.561740517616272,2.5282829232513904,-3.0809182591736315,-0.02017949963483261,0.2,0.016853219,,
690,53,36864,169.7,10.9307507,18,0.8303771167993546,0.0003,0.103857421875,170,0.47745680809020996,2.9174440138041975,-3.0951459139585493,-0.020196274526097114,0.2,0.011767925,,
692,56,38912,168.67,12.166914410000004,19,0.8404251039028168,0.0003,0.14892578125,180,0.7010976672172546,2.409816904552281,-3.1084527283906938,-0.021525872636266284,0.2,0.012286875,,
,,40000,,,,0.8440854847431183,0.0003,0.145703125,190,0.5019466280937195,2.337212947849184,-3.0991222321987153,-0.02367920927790692,0.2,0.012868859,20.923768997192383,149.4
684,59,40960,173.13,13.564059669999999,20,,,,,,,,,,,,
686,62,43008,175.2,14.01897354,21,0.7992352247238159,0.0003,0.133740234375,200,0.8028048872947693,2.5167585795745255,-3.1008990839123727,-0.017933634138898924,0.2,0.016511116,,
688,65,45056,175.66,14.70934301,22,0.8192582577466965,0.0003,0.15986328125,210,0.2786211371421814,1.9146513895131647,-3.0809607803821564,-0.024667170278553384,0.2,0.016823191,,
690,68,47104,175.55,14.884077809999999,23,0.754224494099617,0.0003,0.10654296875,220,0.5206842422485352,3.459252296946943,-3.1131356067955496,-0.018637713606585747,0.2,0.01036999,,
691,71,49152,174.11,15.344986369999999,24,0.8613423407077789,0.0003,0.11962890625,230,1.116434097290039,2.462021868489683,-3.0746769860386847,-0.018321993507561272,0.2,0.0120311435,,
,,50000,,,,0.819352313876152,0.0003,0.096142578125,240,0.24417848885059357,2.329334827978164,-3.0812281988561154,-0.016930183469958136,0.2,0.012568928,16.42933464050293,219.0
680,75,51200,171.76,16.08583298,25,,,,,,,,,,,,
680,78,53248,171.89,16.46738268,26,0.8781282156705856,0.0003,0.089306640625,250,0.6897923350334167,4.121712787076831,-3.072948734462261,-0.018649778331746348,0.2,0.011333453,,
681,81,55296,169.24,16.42600871,27,0.8899935558438301,0.0003,0.1234375,260,0.5381844639778137,2.2475891884416344,-3.0605650804936886,-0.020429188467096536,0.2,0.012843409,,
681,84,57344,168.14,16.146960679999996,28,0.847510427236557,0.0003,0.12158203125,270,0.29920586943626404,1.8270004442892969,-3.0617119528353216,-0.02227023652085336,0.2,0.012906078,,
682,87,59392,163.68,17.032646440000004,29,0.8576308786869049,0.0003,0.17587890625,280,0.5578696727752686,1.9142737554386258,-3.0399652399122714,-0.020893165809684432,0.2,0.014998421,,
,,60000,,,,0.8424803167581558,0.0003,0.1220703125,290,0.32961395382881165,2.3867468974553048,-3.0507477924227713,-0.02278856938064564,0.2,0.0125149,21.509974861145018,134.6
675,90,61440,162.12,16.32735659,30,,,,,,,,,,,,
673,94,63488,156.91,16.27479357,31,0.7288858294487,0.0003,0.14091796875,300,1.230109691619873,2.889484204351902,-3.0529154911637306,-0.022403492318699137,0.2,0.012273824,,
670,97,65536,155.08,17.618892199999998,32,0.8636789917945862,0.0003,0.1474609375,310,0.42085856199264526,2.489828053675592,-3.055718567222357,-0.023088809606269932,0.2,0.016410403,,
671,100,67584,153.35,17.727056970000003,33,0.8178420811891556,0.0003,0.1529296875,320,0.5059811472892761,2.107057474553585,-3.0508608393371106,-0.020205981393519323,0.2,0.014238296,,
672,103,69632,149.85,17.47508933,34,0.7532772570848465,0.0003,0.118701171875,330,1.1272199153900146,5.573274179175496,-3.0400177136063578,-0.01996098260715371,0.2,0.013315376,,
,,70000,,,,0.9124558717012405,0.0003,0.144482421875,340,1.7105320692062378,2.8369584288448095,-3.041523625701666,-0.023001443382236177,0.2,0.01450564,21.9635160446167,122.6
669,107,71680,148.26,19.29501936,35,,,,,,,,,,,,
669,110,73728,146.47,20.30237934,36,0.8459063917398453,0.0003,0.159765625,350,0.555934727191925,3.944549210369587,-3.0500788271427153,-0.023522210262308364,0.2,0.015850058,,
668,113,75776,147.08,21.571030980000003,37,0.8314850628376007,0.0003,0.127490234375,360,0.7818937301635742,2.4017714438959956,-3.032459281384945,-0.01989115729884361,0.2,0.011195103,,
668,116,77824,145.55,22.574285070000002,38,0.861100897192955,0.0003,0.13701171875,370,0.5590283274650574,2.103131264448166,-3.020522801578045,-0.024876613615197128,0.2,0.013564615,,
668,119,79872,141.17,22.877656170000005,39,0.8661728799343109,0.0003,0.203466796875,380,0.44154125452041626,1.3891989819705486,-3.0046364419162273,-0.025061292137252167,0.2,0.017128263,,
,,80000,,,,0.8392476439476013,0.0003,0.1830078125,390,0.6161181330680847,2.790369548648596,-2.999058556556702,-0.0262392219126923,0.2,0.01601468,22.159375190734863,116.0
664,123,81920,141.01,24.356673070000003,40,,,,,,,,,,,,
666,126,83968,138.23,24.316550310000004,41,0.7584723979234695,0.0003,0.108056640625,400,0.9258779287338257,3.386157323420048,-2.9922544486820697,-0.02126732516408083,0.2,0.011551788,,
667,128,86016,137.99,22.799847440000004,42,0.8326365947723389,0.0003,0.167724609375,410,0.6720760464668274,3.3343985987827183,-2.9657809868454934,-0.018793948947859462,0.2,0.018381374,,
668,131,88064,138.48,21.854561490000002,43,0.8234978765249252,0.0003,0.196875,420,0.353597491979599,1.5332774777896703,-2.9686977446079252,-0.025775968669040594,0.2,0.019974915,,
,,90000,,,,0.8115061074495316,0.0003,0.135888671875,430,1.0533289909362793,2.5755534019321202,-2.964653702825308,-0.01922839715698501,0.2,0.0141399605,23.175878524780273,121.4
665,135,90112,137.63,21.25845265,44,,,,,,,,,,,,
665,138,92160,139.82,21.51074656,45,0.8277471214532852,0.0003,0.1478515625,440,0.28933605551719666,2.3521492432802917,-2.952849818766117,-0.02095015570666874,0.2,0.01587257,,
666,141,94208,140.32,21.039750750000003,46,0.8718286901712418,0.0003,0.17958984375,450,0.44953644275665283,2.4342519449070097,-2.945501359552145,-0.024380134863895363,0.2,0.017780071,,
668,144,96256,142.28,20.72082895,47,0.8841923177242279,0.0003,0.162548828125,460,0.42318904399871826,2.067607926391065,-2.9371666662395,-0.022565612508333287,0.2,0.014638364,,
668,147,98304,142.05,21.560552319999996,48,0.8326791226863861,0.0003,0.1609375,470,0.4480306804180145,3.314092430844903,-2.937087507545948,-0.01890253770543495,0.2,0.01481488,,
,,100000,,,,0.8472863435745239,0.0003,0.135009765625,480,1.0007648468017578,3.321045324020088,-2.908153011649847,-0.02129236357141053,0.2,0.01232851,17.29947566986084,105.4
666,150,100352,140.23,22.8033426,49,,,,,,,,,,,,
667,153,102400,133.25,23.56313223,50,0.8481051474809647,0.0003,0.133544921875,490,0.9485137462615967,2.728532897308469,-2.8965981088578703,-0.026597043994115666,0.2,0.01284844,,
667,156,104448,130.68,24.34796685,51,0.7887501865625381,0.0003,0.165478515625,500,0.5868421196937561,2.686839940212667,-2.8730152152478694,-0.023292036837665363,0.2,0.015278427,,
668,159,106496,127.75,24.623742510000003,52,0.8144586980342865,0.0003,0.17431640625,510,0.4177840054035187,2.6249992763623595,-2.878060197085142,-0.02009537913982058,0.2,0.015136086,,
669,162,108544,126.21,25.726750690000003,53,0.7829809635877609,0.0003,0.15390625,520,0.5352330207824707,3.031593761406839,-2.8567994721233845,-0.022737145534483715,0.2,0.01443022,,
,,110000,,,,0.8367548584938049,0.0003,0.194482421875,530,0.7723599076271057,2.4112738577648996,-2.840062776207924,-0.021965474441822154,0.2,0.019558668,26.972035074234007,135.2
666,165,110592,124.46,25.3237226,54,,,,,,,,,,,,
666,168,112640,119.52,25.57098376,55,0.7641648352146149,0.0003,0.186474609375,540,0.4056522250175476,2.1285084867849946,-2.8453556284308434,-0.025359948168625124,0.2,0.019134298,,
667,171,114688,120.85,26.528504320000003,56,0.8199290037155151,0.0003,0.185986328125,550,0.588457465171814,2.7412744730710985,-2.7826141729950904,-0.019115979653724934,0.2,0.019384824,,
668,174,116736,118.53,27.292610579999995,57,0.7688466310501099,0.0003,0.1771484375,560,1.0480114221572876,3.091181878373027,-2.7852735184133053,-0.01961199920042418,0.2,0.017646933,,
668,177,118784,119.06,28.051813459999998,58,0.8582518994808197,0.0003,0.173876953125,570,1.102219581604004,2.28027120064944,-2.7712955117225646,-0.026234505587490277,0.2,0.01836081,,
,,120000,,,,0.8853083997964859,0.0003,0.2169921875,580,0.43890708684921265,2.025809461157769,-2.7459395602345467,-0.02785707117145648,0.2,0.018132541,29.583974075317382,132.4
666,181,120832,118.37,28.32140994,59,,,,,,,,,,,,
667,184,122880,117.92,28.80408637,60,0.8400201350450516,0.0003,0.166650390625,590,0.30296775698661804,2.3628467906266453,-2.767787326872349,-0.020880098413908855,0.2,0.014202917,,
668,186,124928,119.12,29.522571080000002,61,0.8427586704492569,0.0003,0.1814453125,600,0.6208604574203491,2.6330070490017534,-2.76773582175374,-0.025458649346546736,0.2,0.016214801,,
669,189,126976,115.38,28.94505905,62,0.8404560983181,0.0003,0.13935546875,610,0.9831356406211853,3.08096370510757,-2.7563653513789177,-0.023332621045847192,0.2,0.014434441,,
669,192,129024,114.62,29.13988453,63,0.803709864616394,0.0003,0.19248046875,620,1.0557887554168701,2.574652392230928,-2.751732713729143,-0.022521502581366804,0.2,0.015347027,,
,,130000,,,,0.8289326429367065,0.0003,0.151123046875,630,0.5062780976295471,2.5306674752384426,-2.745541025698185,-0.016188684925145934,0.2,0.015274025,30.704117584228516,125.6
667,196,131072,115.12,28.75802135,64,,,,,,,,,,,,
668,199,133120,112.2,28.723725670000004,65,0.8231967389583588,0.0003,0.1650390625,640,0.5913246870040894,3.339699748903513,-2.720429215580225,-0.019242758252948987,0.2,0.014291389,,
668,202,135168,111.69,28.45077917,66,0.8673471212387085,0.0003,0.16904296875,650,1.113542079925537,3.204374086856842,-2.6877275444567204,-0.01939816417725524,0.2,0.018498361,,
669,205,137216,112.65,28.693168300000004,67,0.8602605313062668,0.0003,0.199755859375,660,0.6136373281478882,2.3052261702716352,-2.707683772593737,-0.022481013684591745,0.2,0.017384827,,
669,207,139264,114.93,29.37825228,68,0.851488932967186,0.0003,0.1912109375,670,0.7479211688041687,2.7837474185973408,-2.696787068247795,-0.02279182470520027,0.2,0.017560283,,
,,140000,,,,0.874802753329277,0.0003,0.1708984375,680,0.4352670907974243,2.8856179762631653,-2.6797551356256006,-0.0274674997155671,0.2,0.01879852,37.65789642333984,100.2
668,211,141312,114.91,29.14637592,69,,,,,,,,,,,,
669,214,143360,109.43,29.14302597,70,0.7968462705612183,0.0003,0.203515625,690,0.8634294271469116,2.720868740975857,-2.655569841712713,-0.02671807928418275,0.2,0.022238152,,
669,217,145408,104.71,29.994762969999996,71,0.8313825279474258,0.0003,0.19013671875,700,0.6221465468406677,2.6456015851348638,-2.692790189385414,-0.024722241157724055,0.2,0.019085877,,
670,220,147456,109.32,29.194375400000002,72,0.8301427662372589,0.0003,0.20546875,710,0.6139304637908936,2.650583795271814,-2.6662594147026537,-0.023119775552186184,0.2,0.018689167,,
670,222,149504,111.22,28.83746988,73,0.9460001699626446,0.0003,0.211083984375,720,0.23774407804012299,2.048714515008032,-2.631918180733919,-0.026688290065794717,0.2,0.019117013,,
,,150000,,,,0.8078010231256485,0.0003,0.20234375,730,0.9915329813957214,2.997110431827605,-2.7050801530480384,-0.022384797407721636,0.2,0.0190681,32.41933822631836,165.0
668,226,151552,112.72,29.488778180000004,74,,,,,,,,,,,,
668,229,153600,113.81,29.199658120000002,75,0.7779967486858368,0.0003,0.16826171875,740,0.4787009358406067,3.3857017140835524,-2.6986859902739524,-0.022640202695765766,0.2,0.014949072,,
669,232,155648,117.48,29.249278990000004,76,0.8041481077671051,0.0003,0.1810546875,750,0.6479620933532715,2.7385523598641157,-2.706271415948868,-0.021410221623955294,0.2,0.016403912,,
669,235,157696,120.13,29.376949279999998,77,0.8620418012142181,0.0003,0.172216796875,760,0.6725267171859741,2.7779380360618235,-2.7043322682380677,-0.02567835648806067,0.2,0.015527406,,
670,238,159744,113.04,29.408274429999995,78,0.8496494889259338,0.0003,0.23427734375,770,0.3960517346858978,1.9132748028263449,-2.674923235923052,-0.028228210809174925,0.2,0.02257383,,
,,160000,,,,0.8304546922445297,0.0003,0.216162109375,780,0.7129734754562378,2.43756632655859,-2.692851134389639,-0.023171037404972596,0.2,0.020645684,28.06374385356903,127.4
669,241,161792,108.26,29.166009090000003,79,,,,,,,,,,,,
669,244,163840,109.0,29.681114039999997,80,0.7022547423839569,0.0003,0.1919921875,790,0.9305270314216614,3.8444488203153013,-2.6629234828054904,-0.024477531656157226,0.2,0.017170664,,
670,247,165888,110.31,28.756372100000004,81,0.8048778772354126,0.0003,0.167041015625,800,0.3567018508911133,2.8749749585986137,-2.618860950320959,-0.021998275141231715,0.2,0.017589122,,
670,250,167936,106.78,29.934607729999996,82,0.8162620961666107,0.0003,0.236328125,810,0.32407113909721375,1.5109566651284694,-2.625701981782913,-0.02321189144277014,0.2,0.027438987,,
670,253,169984,106.87,29.6179674,83,0.8588651120662689,0.0003,0.193505859375,820,0.6630016565322876,2.408762736618519,-2.58054186925292,-0.02498507287382381,0.2,0.018985491,,
,,170000,,,,0.7448195815086365,0.0003,0.218310546875,830,0.3794209957122803,2.8224791787564754,-2.5657052367925646,-0.023205034964485095,0.2,0.021676734,23.130302810668944,93.2
669,256,172032,106.02,29.93853278,84,,,,,,,,,,,,
670,259,174080,104.82,30.54307553,85,0.8042759150266647,0.0003,0.1951171875,840,0.46681201457977295,3.145518907159567,-2.5622347071766853,-0.023513974277011584,0.2,0.016468406,,
670,262,176128,103.01,31.710491420000004,86,0.8672832995653152,0.0003,0.213427734375,850,0.7550486922264099,2.4994199715554712,-2.524696929752827,-0.028194528781750706,0.2,0.023606818,,
671,265,178176,102.55,32.02291299,87,0.8712199032306671,0.0003,0.219775390625,860,0.5269404649734497,2.6541262317448853,-2.556584244966507,-0.028240352532884573,0.2,0.01891687,,
,,180000,,,,0.8224864155054092,0.0003,0.19287109375,870,0.9219281673431396,3.0111811835318805,-2.4980578094720842,-0.02869828080292791,0.2,0.017291084,39.13488235473633,86.2
670,268,180224,102.93,32.3724842,88,,,,,,,,,,,,
670,271,182272,102.06,32.94383151,89,0.8022022396326065,0.0003,0.215380859375,880,0.8230518102645874,3.4652209423482416,-2.5538976162672045,-0.026013602860621175,0.2,0.022799717,,
671,274,184320,100.68,32.497465000000005,90,0.8274837583303452,0.0003,0.1615234375,890,0.883734405040741,2.835337894037366,-2.49413530677557,-0.02458530338917626,0.2,0.015101461,,
671,277,186368,99.88,32.783739000000004,91,0.8062659054994583,0.0003,0.1818359375,900,0.5156222581863403,2.892313352972269,-2.470730571448803,-0.023043349345971364,0.2,0.019553041,,
671,280,188416,102.81,32.051118609999996,92,0.8541724979877472,0.0003,0.199267578125,910,0.5786064267158508,2.5817271675914526,-2.4462425731122495,-0.0197070754802553,0.2,0.018553143,,
,,190000,,,,0.8627840131521225,0.0003,0.185400390625,920,0.3492881953716278,2.886028078943491,-2.483557978272438,-0.02278186269904836,0.2,0.019455444,30.397207260131836,111.0
670,283,190464,103.48,31.507807730000003,93,,,,,,,,,,,,
671,286,192512,101.64,30.94567018,94,0.7967268973588943,0.0003,0.20986328125,930,0.6551982164382935,3.4081259448081256,-2.416285704821348,-0.02402688778238371,0.2,0.018948901,,
671,289,194560,102.76,32.11126588,95,0.7331234216690063,0.0003,0.193505859375,940,0.7596132755279541,3.20784746427089,-2.4462487407028677,-0.02378875545109622,0.2,0.02089755,,
672,292,196608,100.65,32.07685699,96,0.8195494711399078,0.0003,0.20166015625,950,0.9625834226608276,4.236832848377526,-2.381475754827261,-0.022055544405884576,0.2,0.02091753,,
672,295,198656,95.74,33.05469031,97,0.7874430119991302,0.0003,0.201318359375,960,0.871972382068634,3.941253863088787,-2.3938221730291844,-0.0242568003537599,0.2,0.017727014,,
,,200000,,,,0.7599646598100662,0.0003,0.205810546875,970,0.621166467666626,3.953392322733998,-2.4176516249775886,-0.02661306919180788,0.2,0.018056735,36.25282440185547,93.0
671,298,200704,92.45,34.74064471,98,,,,,,,,,,,,
671,301,202752,91.54,34.67364609,99,0.7713950872421265,0.0003,0.2107421875,980,1.113322138786316,4.156760066375137,-2.404210268706083,-0.024925868202990385,0.2,0.021100452,,
672,304,204800,91.69,34.91840062,100,0.8046440035104752,0.0003,0.238232421875,990,0.38379475474357605,2.779704574868083,-2.429062159359455,-0.0256941856307094,0.2,0.024049118,,
672,307,206848,91.25,34.69621513999999,101,0.8875245451927185,0.0003,0.2333984375,1000,0.3626488745212555,2.2233788764104245,-2.4050945177674294,-0.025059164131380384,0.2,0.021536272,,
672,310,208896,89.34,35.02675801,102,0.7733436822891235,0.0003,0.203515625,1010,0.6297693848609924,2.8585190242156386,-2.417961648851633,-0.018969104017014616,0.2,0.019840773,,
,,210000,,,,0.8035171031951904,0.0003,0.212548828125,1020,0.7937440276145935,3.4305980268865826,-2.3806608192622662,-0.022490091252257115,0.2,0.0239008,32.66666717529297,89.0
672,313,210944,90.85,34.03756659,103,,,,,,,,,,,,
672,316,212992,89.39,34.11507538,104,0.7792350649833679,0.0003,0.21943359375,1030,0.8806243538856506,3.1062877517193557,-2.3699642539024355,-0.030449467577273025,0.2,0.023876123,,
672,319,215040,91.36,33.85812799,105,0.8619414120912552,0.0003,0.256005859375,1040,0.33278435468673706,2.2360020391643047,-2.3314353108406065,-0.028105546919687186,0.2,0.02308695,,
673,322,217088,90.63,33.63702166,106,0.8377530127763748,0.0003,0.240283203125,1050,1.1016204357147217,3.825034414604306,-2.4136745914816857,-0.020744485744216945,0.2,0.04119904,,
673,325,219136,89.52,33.951392600000005,107,0.7878621369600296,0.0003,0.221875,1060,0.7343630194664001,2.9361862178891895,-2.343418314307928,-0.028096657303103713,0.2,0.020051477,,
,,220000,,,,0.7898713052272797,0.0003,0.226416015625,1070,0.909440279006958,3.8148751545697452,-2.3418861091136933,-0.026697065198095515,0.2,0.022838762,38.690076446533205,79.4
672,328,221184,89.53,33.313119279999995,108,,,,,,,,,,,,
672,331,223232,86.5,33.771447820000006,109,0.7792951911687851,0.0003,0.204248046875,1080,0.7414836883544922,3.8621732953935863,-2.342243518680334,-0.02512564427597681,0.2,0.019920262,,
672,334,225280,87.97,34.308811229999996,110,0.8540664166212082,0.0003,0.222119140625,1090,0.4228650629520416,2.2955657260492446,-2.379790446162224,-0.027090651834441815,0.2,0.023623608,,
673,337,227328,87.86,34.50546954,111,0.892934188246727,0.0003,0.239013671875,1100,0.38394060730934143,2.435233481787145,-2.328669233620167,-0.025750378918019123,0.2,0.022285424,,
673,340,229376,87.62,34.38707453000001,112,0.8406188786029816,0.0003,0.210498046875,1110,0.30721932649612427,2.35869914451614,-2.314418637752533,-0.022687578656768893,0.2,0.022941176,,
,,230000,,,,0.8558906614780426,0.0003,0.237939453125,1120,0.5491493344306946,1.9134824384003877,-2.3610728710889815,-0.02339047910645604,0.2,0.0224468,37.80508270263672,87.4
672,344,231424,85.77,34.271121459999996,113,,,,,,,,,,,,
672,346,233472,84.3,33.801416450000005,114,0.7741394937038422,0.0003,0.175390625,1130,1.3274081945419312,3.5562788166105745,-2.338188970834017,-0.024318984885758253,0.2,0.017669957,,
673,349,235520,83.7,33.755848549999996,115,0.8373126089572906,0.0003,0.22001953125,1140,0.43038901686668396,2.144748583249748,-2.2933797113597394,-0.02624052029423183,0.2,0.020585144,,
673,352,237568,82.25,34.82279039,116,0.8305305540561676,0.0003,0.1943359375,1150,0.7726359367370605,3.4786474814638497,-2.22432864010334,-0.02182522787625203,0.2,0.021157978,,
673,355,239616,80.97,34.927179609999996,117,0.8247487545013428,0.0003,0.215478515625,1160,0.6029521226882935,2.828141645155847,-2.2714810319244862,-0.027328979132289533,0.2,0.021044455,,
,,240000,,,,0.81807541847229,0.0003,0.20693359375,1170,0.4695807695388794,2.629341254755855,-2.2220272824168203,-0.026811169787833933,0.2,0.01938087,33.33924903869629,83.8
673,358,241664,81.62,35.36773201999999,118,,,,,,,,,,,,
