time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
499,4,2048,37.388888888888886,8.572404092592594,1,,,,,,,,,,,,
228,17,4096,37.74,10.400459439999999,2,-0.008751273155212402,0.0003,0.105322265625,10,20.528738021850586,55.097656565904614,-1.9517343185842038,-0.017217857404466484,0.2,0.011571882,,
172,35,6144,38.19,13.955454809999999,3,0.2789408564567566,0.0003,0.07275390625,20,31.54684829711914,47.17770731151104,-1.929600115120411,-0.01499032339634141,0.2,0.009545924,,
162,50,8192,38.55,15.24545292,4,0.45883995294570923,0.0003,0.096533203125,30,6.6741180419921875,21.363209326565265,-1.9063186801970005,-0.01681251246482134,0.2,0.010339476,,
,,10000,,,,0.5787741541862488,0.0003,0.13701171875,40,8.19262981414795,20.27125751376152,-1.876563061401248,-0.02241608239564812,0.2,0.011729047,14.100757884979249,35.4
150,68,10240,37.27,20.79075282,5,,,,,,,,,,,,
147,83,12288,37.18,24.299614740000003,6,0.42552340030670166,0.0003,0.09755859375,50,6.398562908172607,20.765965902805327,-1.8511050034314394,-0.015792284366034436,0.2,0.009574374,,
147,97,14336,38.07,24.75149849,7,0.6771990954875946,0.0003,0.0880859375,60,6.616671562194824,17.704911005496978,-1.8392664019018412,-0.01581300703837769,0.2,0.010121174,,
146,111,16384,38.52,24.374357290000003,8,0.6402067542076111,0.0003,0.089453125,70,7.005096912384033,19.900798013806344,-1.7825799826532602,-0.018013265742047223,0.2,0.010041257,,
144,127,18432,38.61,26.46795476,9,0.5841188728809357,0.0003,0.067138671875,80,8.494455337524414,20.530324053764343,-1.7573575358837843,-0.017217747066752054,0.2,0.009454332,,
,,20000,,,,0.5088271200656891,0.0003,0.132666015625,90,7.4226274490356445,14.727771966159343,-1.7600926987826824,-0.02028151264094049,0.2,0.010659276,17.263461303710937,33.0
140,146,20480,38.59,27.32136697,10,,,,,,,,,,,,
137,163,22528,38.2,28.72749632,11,0.6098164319992065,0.0003,0.121826171875,100,5.118675708770752,14.649690560996532,-1.7112312354147434,-0.018321119219763204,0.2,0.011550623,,
140,174,24576,37.05,31.16985321,12,0.6239572763442993,0.0003,0.091455078125,110,6.525943756103516,12.669449843466282,-1.6860752001404762,-0.017020636532106437,0.2,0.008702235,,
138,191,26624,38.22,31.60652455,13,0.5197048783302307,0.0003,0.10029296875,120,4.622568607330322,14.476897920668126,-1.6563315253704787,-0.01727270614064764,0.2,0.010442329,,
139,205,28672,37.83,28.800989099999995,14,0.5585010349750519,0.0003,0.109521484375,130,3.4820830821990967,10.056166878342628,-1.6598414074629546,-0.0186127553723054,0.2,0.010925197,,
,,30000,,,,0.44924724102020264,0.0003,0.09404296875,140,5.399955749511719,19.7199663951993,-1.634365602955222,-0.01941007074492518,0.2,0.009326283,36.199404907226565,40.2
137,224,30720,37.21,30.18131757,15,,,,,,,,,,,,
136,240,32768,37.75,33.781505360000004,16,0.5328130424022675,0.0003,0.118798828125,150,2.411911725997925,10.998884829878808,-1.6216098971664905,-0.02024409818041022,0.2,0.010930673,,
137,254,34816,37.14,34.84143563,17,0.5371643900871277,0.0003,0.14501953125,160,1.7712745666503906,6.412298679351807,-1.5687813568860292,-0.02280982769007096,0.2,0.011663064,,
136,269,36864,37.26,35.41294898,18,0.6320601105690002,0.0003,0.155859375,170,1.7116097211837769,5.553631239384413,-1.5573442485183477,-0.024527443839178886,0.2,0.012752049,,
