time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
22528,11,367,-8.307429106382978,475.06382978723406,61,0.00478515625,100,-4.557786291837692,-0.003810960527334828,0.8622838258743286,0.07751484215259552,0.4612828605808318,3e-05,0.1,0.00059829827,,
24576,12,373,-8.469684156862746,478.29411764705884,65,0.0,110,-4.557690662145615,-0.002490263398249226,0.7164473533630371,1.0087509155273438,3.432041035592556,3e-05,0.1,0.00031132397,,
26624,13,377,-9.884539857142856,472.64285714285717,70,0.0,120,-4.55597026348114,-0.0021973504044581205,0.7841282039880753,0.5407641530036926,1.856677844375372,3e-05,0.1,0.00031072745,,
28672,14,381,-10.33109232786885,469.6885245901639,75,0.0,130,-4.555500990152359,-0.0020636673201806844,0.5952201187610626,4.225036144256592,16.442602863907815,3e-05,0.1,0.00020522013,,
30000,,,,,,0.0,140,-4.554056745767594,-0.0023713490460067987,0.8058760166168213,1.8763371706008911,2.075376156717539,3e-05,0.1,0.00037359213,-10.932506895065307,478.8
30720,15,365,-10.033950421875002,476.546875,84,,,,,,,,,,,,
32768,16,369,-10.032474691176473,476.1029411764706,88,0.0087890625,150,-4.555236029624939,-0.004677727233502083,0.8226719796657562,0.03423948585987091,0.47638451773673296,3e-05,0.1,0.00090690074,,
34816,17,372,-9.417475527777777,477.3333333333333,93,0.0,160,-4.554157882928848,-0.002082857021741802,0.878787562251091,0.522545337677002,1.2806337174028157,3e-05,0.1,0.00021277889,,
36864,18,375,-9.115036688311687,475.84415584415586,98,0.001220703125,170,-4.5535033464431764,-0.0026310408225981518,0.8041180074214935,1.545369267463684,1.7578577101230621,3e-05,0.1,0.0003765088,,
38912,19,377,-9.26142212345679,475.0740740740741,102,0.0001953125,180,-4.553876596689224,-0.002970474123139866,0.7715635746717453,1.084373116493225,2.3045210644602774,3e-05,0.1,0.00031945188,,
40000,,,,,,0.00087890625,190,-4.552122247219086,-0.0030308982881251723,0.8868931606411934,0.7039531469345093,1.1027969872578978,3e-05,0.1,0.00050848455,-1.1942147731781005,541.4
40960,20,363,-9.589360870588234,481.15294117647056,112,,,,,,,,,,,,
43008,21,366,-9.946754606741573,479.685393258427,117,9.765625e-05,200,-4.5523677408695224,-0.0018278437433764338,0.8043934553861618,2.1624770164489746,5.308714354783296,3e-05,0.1,0.00023902516,,
45056,22,369,-9.819001892473118,481.18279569892474,122,0.0,210,-4.5520867228508,-0.002595658319114591,0.7518578171730042,8.613839149475098,12.053112843632698,3e-05,0.1,0.0002986305,,
47104,23,371,-10.641925835051547,483.16494845360825,126,0.0,220,-4.5496256113052365,-0.0012820697185816244,0.8826796934008598,0.5857555866241455,1.540382181480527,3e-05,0.1,0.00014487284,,
49152,24,374,-10.23852367,481.3,131,0.0,230,-4.547812008857727,-0.0011898661745362916,0.8318918645381927,1.4512593746185303,4.270105305314064,3e-05,0.1,8.051476e-05,,
50000,,,,,,0.000537109375,240,-4.549996787309647,-0.003588031373510603,0.8973605260252953,0.2966078221797943,0.6518161594867706,3e-05,0.1,0.00058601267,-17.28727855682373,533.0
51200,25,363,-10.53129754,487.37,140,,,,,,,,,,,,
53248,26,365,-10.5030304,489.14,145,0.00087890625,250,-4.549182569980621,-0.00322370178764686,0.9228210002183914,0.119545117020607,0.7399386214092374,3e-05,0.1,0.00038784032,,
55296,27,368,-11.36940748,486.35,150,0.0,260,-4.547888708114624,-0.0014683543719002045,0.8738463819026947,1.454467535018921,3.136784967035055,3e-05,0.1,0.0001245605,,
57344,28,369,-11.253617370000002,490.81,155,0.00087890625,270,-4.548360377550125,-0.0035331209510331973,0.8696862757205963,2.2567570209503174,3.421799211204052,3e-05,0.1,0.00058625074,,
59392,29,371,-12.018992390000001,488.54,159,0.000927734375,280,-4.541867756843567,-0.0030761920992517845,0.9267978146672249,0.08229894936084747,0.48088210411369803,3e-05,0.1,0.00056323304,,
60000,,,,,,0.0,290,-4.544431960582733,-0.0011935514659853653,0.8005698174238205,4.809411525726318,8.746896541118621,3e-05,0.1,7.8264275e-05,-6.851877641677857,525.6
61440,30,362,-12.9163377,494.4,169,,,,,,,,,,,,
63488,31,365,-12.22362896,495.43,173,0.0,300,-4.545540672540665,-0.0021428724445286206,0.7714056372642517,10.611326217651367,15.074221304059028,3e-05,0.1,0.0001931251,,
65536,32,367,-11.118563649999999,499.34,178,0.0,310,-4.5464641690254215,-0.002770784855238162,0.7242812812328339,0.0715986043214798,1.1758330134674906,3e-05,0.1,0.00042034543,,
67584,33,368,-11.225984950000003,498.59,183,0.001953125,320,-4.544528377056122,-0.0036778214358491822,0.6168294548988342,0.9269649386405945,1.8437136299908161,3e-05,0.1,0.0006292043,,
69632,34,369,-11.061254629999997,505.15,188,0.00166015625,330,-4.544261384010315,-0.0031296152155846357,0.8640380352735519,0.11871721595525742,0.5175480140373111,3e-05,0.1,0.0004938445,,
70000,,,,,,0.0,340,-4.540050256252289,-0.0017007556889439002,0.8872766718268394,0.7054775953292847,2.080115643143654,3e-05,0.1,0.00014531799,-8.617280387878418,486.8
71680,35,363,-11.313477819999997,507.99,197,,,,,,,,,,,,
73728,36,365,-10.857166079999999,505.67,201,0.011962890625,350,-4.5426951289176944,-0.005242920739692636,0.8513390421867371,0.05663300305604935,0.3032186170108616,3e-05,0.1,0.0011914582,,
75776,37,366,-11.340294079999996,507.85,206,0.01396484375,360,-4.543394583463669,-0.00524231402669102,0.7238858342170715,0.0936199277639389,0.42918024193495513,3e-05,0.1,0.0010811455,,
77824,38,368,-10.083487439999999,513.78,211,0.0,370,-4.540648394823075,-0.001958923149504699,0.8456879705190659,4.16875696182251,6.367907550185919,3e-05,0.1,0.00022788471,,
79872,39,369,-9.591731930000002,514.59,215,0.01103515625,380,-4.544253420829773,-0.004218547930940985,0.7401283979415894,0.0073544979095458984,0.3692359268665314,3e-05,0.1,0.0008631332,,
80000,,,,,,0.0115234375,390,-4.541339218616486,-0.004305561329238117,0.8441487848758698,0.05492334067821503,0.4558611578308046,3e-05,0.1,0.0011272511,-12.777714586257934,498.8
81920,40,363,-9.80504888,523.32,225,,,,,,,,,,,,
83968,41,365,-9.333180070000001,519.5,229,0.0,400,-4.5386695742607115,-0.0019984545360784978,0.8158555030822754,3.1923022270202637,6.012785060703754,3e-05,0.1,0.00026429305,,
86016,42,366,-9.866329849999998,518.7,234,0.00615234375,410,-4.539141523838043,-0.004112473770510406,0.7870328724384308,0.06019071862101555,0.5448345959186554,3e-05,0.1,0.00092586596,,
