time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
643,38,24576,156.41,13.6692331,12,0.8888655379414558,0.0003,0.082421875,110,1.2826378345489502,2.698102507740259,-3.0994499497115613,-0.018991088775510433,0.2,0.010396931,,
646,41,26624,153.28,15.335084700000003,13,0.7886465638875961,0.0003,0.070166015625,120,2.2847161293029785,2.67880360390991,-3.097910167276859,-0.015020244619518053,0.2,0.009220699,,
647,44,28672,146.77,16.09258367,14,0.7506005764007568,0.0003,0.1134765625,130,0.3724363446235657,1.881476090569049,-3.0719763934612274,-0.018519913943600842,0.2,0.0108542405,,
,,30000,,,,0.8694253712892532,0.0003,0.0828125,140,0.29401010274887085,3.2674490455538034,-3.0601019881665708,-0.01696415108453948,0.2,0.009831136,19.35267868041992,148.8
635,48,30720,147.06,16.66516069,15,,,,,,,,,,,,
637,51,32768,147.27,17.18372982,16,0.7263285517692566,0.0003,0.092333984375,150,0.251275897026062,2.6784774623811245,-3.0532875381410123,-0.01985833602375351,0.2,0.011163524,,
637,54,34816,147.53,17.38167184,17,0.828604519367218,0.0003,0.114794921875,160,0.2622714042663574,2.0390664111822843,-3.029666416347027,-0.020309431250643682,0.2,0.011579752,,
640,57,36864,148.62,17.64483569,18,0.889045000076294,0.0003,0.119970703125,170,0.3628687262535095,1.6990506269969046,-3.015286544710398,-0.021029944694601,0.2,0.012064647,,
642,60,38912,147.1,19.043805260000003,19,0.8629980087280273,0.0003,0.108203125,180,0.2719927132129669,2.016369451675564,-2.9953059308230876,-0.021005927681108004,0.2,0.010540744,,
,,40000,,,,0.8770947754383087,0.0003,0.144921875,190,0.2973576486110687,1.8796974052675068,-2.9784164629876613,-0.023130789637798445,0.2,0.012755144,16.580128288269044,133.8
633,64,40960,149.26,19.712124529999997,20,,,,,,,,,,,,
634,67,43008,146.97,20.92307542,21,0.8891075775027275,0.0003,0.134423828125,200,0.34270578622817993,1.9582952704280614,-2.943521670997143,-0.01820963738282444,0.2,0.011534084,,
636,70,45056,146.01,21.98360306,22,0.852740004658699,0.0003,0.124267578125,210,0.2952546775341034,1.9392754155211152,-2.9116405874490736,-0.020155171539227013,0.2,0.0109646525,,
637,73,47104,145.43,23.20143752,23,0.7541938275098801,0.0003,0.1599609375,220,0.2608860433101654,2.5339049285277726,-2.9124545067548753,-0.02341142616205616,0.2,0.015764365,,
638,76,49152,140.97,24.781127650000002,24,0.8478207290172577,0.0003,0.141455078125,230,0.7743328213691711,1.9455514071509241,-2.890239641070366,-0.023188824276439847,0.2,0.013753358,,
,,50000,,,,0.7820787727832794,0.0003,0.078955078125,240,0.6938431262969971,3.982863473519683,-2.8831403873860837,-0.019117122735769952,0.2,0.009535697,30.262701797485352,132.4
633,80,51200,138.5,24.22402653,25,,,,,,,,,,,,
635,83,53248,139.96,24.63317246,26,0.7602421790361404,0.0003,0.110498046875,250,0.41429632902145386,2.257902981340885,-2.879642795026302,-0.016597061972424852,0.2,0.011450398,,
636,86,55296,138.84,24.477385409999997,27,0.8138717859983444,0.0003,0.10146484375,260,0.6593552231788635,2.447054621577263,-2.873576082289219,-0.018434942555904853,0.2,0.010735365,,
637,89,57344,141.04,22.25951203,28,0.7975671887397766,0.0003,0.17958984375,270,0.2551732063293457,1.3572214216925205,-2.8779113702476025,-0.022259312067762948,0.2,0.014165692,,
639,92,59392,137.8,22.208050200000002,29,0.8247234523296356,0.0003,0.114697265625,280,0.3949888348579407,2.1622697945684193,-2.898393736034632,-0.019617076478607488,0.2,0.010655187,,
,,60000,,,,0.8393555879592896,0.0003,0.1689453125,290,0.6416155695915222,1.6900619505438954,-2.853503216803074,-0.020838829572312534,0.2,0.01649823,20.29139232635498,116.8
635,96,61440,136.61,21.61033842,30,,,,,,,,,,,,
636,99,63488,138.3,22.16430583,31,0.8514525890350342,0.0003,0.182568359375,300,0.44379210472106934,2.77070429045707,-2.8540354184806347,-0.02448475101409713,0.2,0.01764464,,
638,102,65536,135.21,24.31489984,32,0.9249287992715836,0.0003,0.175146484375,310,0.4572165012359619,1.6891611482948066,-2.8646090693771837,-0.027075837909069377,0.2,0.016799245,,
639,105,67584,134.94,24.47839633,33,0.8512942790985107,0.0003,0.16953125,320,0.3134400248527527,1.8980984962545335,-2.8282221920788286,-0.025697281637985726,0.2,0.01598578,,
640,108,69632,130.67,25.385025249999998,34,0.8876636475324631,0.0003,0.1412109375,330,0.40211203694343567,1.7887759170494975,-2.8022428669035433,-0.02364063266577432,0.2,0.014366937,,
,,70000,,,,0.8492085933685303,0.0003,0.14228515625,340,0.5399606823921204,1.992412518709898,-2.78388264849782,-0.020505527943896595,0.2,0.016583651,18.237012767791747,160.8
635,112,71680,130.97,27.3449746,35,,,,,,,,,,,,
636,115,73728,127.64,28.53549823,36,0.8393120914697647,0.0003,0.16689453125,350,0.6103576421737671,2.1582349891774357,-2.789626216888428,-0.021482181394821963,0.2,0.01392326,,
