time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
38,-42.172727050000006,11,22528,67.21,580,-0.007712906603410374,0.0003,0.2,-1.9481092114001513,8.762898445129395,100,0.034619140625,0.611852765083313,0.0069842106,36.520252557098864,,
42,-36.48391443,12,24576,66.55,579,-0.00814888176319073,0.0003,0.2,-1.8694183982908725,3.338813543319702,110,0.028564453125,0.5429238677024841,0.0069053033,20.6155547067523,,
45,-31.57307663,13,26624,66.04,580,-0.011397587477404159,0.0003,0.2,-1.8824830040335656,29.295400619506836,120,0.066162109375,0.5678452253341675,0.009381452,28.287885518372057,,
49,-30.250906089999994,14,28672,66.66,582,-0.010126207080611493,0.0003,0.2,-1.8260661479085685,2.472888946533203,130,0.064892578125,0.6908750534057617,0.008730929,8.736299180984497,,
,,,30000,,,-0.0088449295857572,0.0003,0.2,-1.791956252604723,32.04949188232422,140,0.046044921875,0.6473023891448975,0.008071963,23.86235778182745,-25.42728328704834,66.6
53,-27.782125199999996,15,30720,67.78,578,,,,,,,,,,,,
56,-27.834573160000005,16,32768,68.38,579,-0.01210337041920866,0.0003,0.2,-1.7500386837869883,5.635783672332764,150,0.0767578125,0.7671488523483276,0.008343526,14.391318767517806,,
60,-24.514663900000002,17,34816,68.53,580,-0.01097045884016552,0.0003,0.2,-1.6875707563012838,1.7450895309448242,160,0.069970703125,0.7474603652954102,0.010339668,10.405603136122227,,
63,-23.66383726,18,36864,68.92,581,-0.010875847673014504,0.0003,0.2,-1.6419632509350777,12.675909996032715,170,0.079052734375,0.619674563407898,0.008676569,14.832718059420586,,
66,-21.830942820000004,19,38912,67.68,582,-0.008150065260997508,0.0003,0.2,-1.6029692579060792,2.663355827331543,180,0.04853515625,0.7170873880386353,0.0070047677,9.632273099571467,,
,,,40000,,,-0.011041260590718593,0.0003,0.2,-1.5781847815960646,2.1563775539398193,190,0.0654296875,0.7066659927368164,0.00819576,9.9863902002573,-21.41322240829468,70.8
70,-19.84632654,20,40960,68.08,578,,,,,,,,,,,,
74,-20.216154369999998,21,43008,67.66,579,-0.009129418871452799,0.0003,0.2,-1.5669427379965781,4.481576919555664,200,0.050830078125,0.6445235013961792,0.0065425825,11.045830898731946,,
77,-19.27355661,22,45056,67.84,580,-0.0111400820518611,0.0003,0.2,-1.5160201031714677,5.0885396003723145,210,0.0552734375,0.7136116623878479,0.007762964,13.981923685967923,,
80,-18.890740659999995,23,47104,66.99,581,-0.006867334368871525,0.0003,0.2,-1.5209514051675797,4.045642852783203,220,0.03095703125,0.7370999455451965,0.0070256535,11.0006537348032,,
84,-17.24049292,24,49152,66.75,582,-0.009646850262652152,0.0003,0.2,-1.5188086364418267,3.8741931915283203,230,0.06455078125,0.6559866666793823,0.008096498,8.947085189819337,,
,,,50000,,,-0.010392336716176943,0.0003,0.2,-1.503877903521061,2.006956100463867,240,0.081298828125,0.5896151661872864,0.007940674,8.536509265750647,-20.409304761886595,65.4
88,-17.82853725,25,51200,68.2,579,,,,,,,,,,,,
91,-17.606311640000005,26,53248,68.62,580,-0.006193474450265057,0.0003,0.2,-1.4998155683279037,1.6540071964263916,250,0.043994140625,0.776877760887146,0.005914864,7.596896547824144,,
95,-18.363177430000004,27,55296,68.32,581,-0.00964489353937097,0.0003,0.2,-1.4798306565731765,1.978246808052063,260,0.090771484375,0.6469954252243042,0.009258478,6.599571148306131,,
98,-18.11755744,28,57344,68.16,581,-0.011975322682701517,0.0003,0.2,-1.4390362780541182,1.618140697479248,270,0.109423828125,0.6329017877578735,0.010453733,7.02569126561284,,
102,-17.983678599999998,29,59392,68.34,582,-0.008424705224751961,0.0003,0.2,-1.4140799708664418,1.6075884103775024,280,0.057275390625,0.6833975315093994,0.007540712,5.433127982541919,,
,,,60000,,,-0.010144426307670073,0.0003,0.2,-1.37861416824162,2.0952022075653076,290,0.0953125,0.7401373386383057,0.008537341,7.21173240467906,-11.076208019256592,67.2
105,-18.401341,30,61440,69.43,579,,,,,,,,,,,,
109,-18.995361449999997,31,63488,69.94,580,-0.00996822247543605,0.0003,0.2,-1.4120074693113565,1.8257163763046265,300,0.084033203125,0.78853839635849,0.00898415,5.234836750850081,,
112,-17.876383689999997,32,65536,69.16,580,-0.008973050875647459,0.0003,0.2,-1.3793880619108676,1.5381381511688232,310,0.0541015625,0.8040481805801392,0.0073345965,5.610918624699115,,
116,-17.81317181,33,67584,68.55,581,-0.007152434032468591,0.0003,0.2,-1.3556750684976577,1.5843623876571655,320,0.0544921875,0.7766656279563904,0.0070888773,4.971695135161281,,
119,-16.29616751,34,69632,68.61,582,-0.010753234429284931,0.0003,0.2,-1.3523815706372262,1.5573680400848389,330,0.08857421875,0.7969321012496948,0.009748174,4.972056194022298,,
,,,70000,,,-0.010296146880136803,0.0003,0.2,-1.296455093473196,1.468769907951355,340,0.083837890625,0.6746415495872498,0.008575239,4.629913885518908,-18.015356826782227,69.0
123,-15.469830780000002,35,71680,68.2,580,,,,,,,,,,,,
126,-15.20999115,36,73728,68.41,580,-0.0093998676573392,0.0003,0.2,-1.3093313172459602,0.6422427892684937,350,0.071923828125,0.7855989933013916,0.008688251,3.9571313157677652,,
130,-13.9411104,37,75776,67.42,581,-0.008141752033407102,0.0003,0.2,-1.2817180916666984,1.8393889665603638,360,0.06494140625,0.8057706356048584,0.008573822,3.449774049781263,,
133,-14.378383539999998,38,77824,67.86,581,-0.007206722501723562,0.0003,0.2,-1.2624383222311735,1.995284080505371,370,0.061083984375,0.7514700293540955,0.008078467,4.439099542796612,,
137,-13.67248043,39,79872,66.9,582,-0.01216293563338695,0.0003,0.2,-1.2945437740534544,1.7399476766586304,380,0.07998046875,0.7995313405990601,0.008498225,5.599208348989487,,
,,,80000,,,-0.00918877637886908,0.0003,0.2,-1.2457710400223732,1.341791033744812,390,0.0666015625,0.7550646066665649,0.00763667,5.035104168951511,-19.42158946990967,67.2
140,-13.65728351,40,81920,66.79,581,,,,,,,,,,,,
144,-13.603814000000002,41,83968,66.73,581,-0.009566099386574933,0.0003,0.2,-1.261016036197543,1.914349913597107,400,0.08046875,0.6275138258934021,0.0077616083,5.454167222231627,,
147,-13.33020845,42,86016,66.97,582,-0.008924191890400834,0.0003,0.2,-1.2344867836683988,0.7699489593505859,410,0.07880859375,0.8075821995735168,0.009992165,3.984298739209771,,
151,-12.929364040000001,43,88064,67.11,582,-0.010173897079948802,0.0003,0.2,-1.2290992736816406,2.1014533042907715,420,0.077734375,0.7316376566886902,0.008405335,4.891669024899602,,
,,,90000,,,-0.012642594454518985,0.0003,0.2,-1.2327269468456508,1.9482042789459229,430,0.081689453125,0.6626142263412476,0.008252833,5.641538754850626,-11.14963207244873,68.4
155,-13.870767399999998,44,90112,67.87,581,,,,,,,,,,,,
158,-14.663388470000003,45,92160,68.02,581,-0.008819645438052248,0.0003,0.2,-1.2311487421393394,1.6698212623596191,440,0.051708984375,0.6842610836029053,0.00818633,7.031385472416877,,
161,-14.38060727,46,94208,68.05,581,-0.013510965910245431,0.0003,0.2,-1.2237940907478333,1.1993095874786377,450,0.097216796875,0.8197998404502869,0.010975534,3.8854875925928356,,
165,-13.4628696,47,96256,67.99,582,-0.01306051075371215,0.0003,0.2,-1.2276203773915768,2.258739948272705,460,0.122021484375,0.5995206832885742,0.00963511,5.074075344949961,,
168,-10.663432690000002,48,98304,66.54,583,-0.007402727875160053,0.0003,0.2,-1.1915393855422736,1.8431326150894165,470,0.077294921875,0.6271895170211792,0.008403871,5.073692421615124,,
,,,100000,,,-0.008621151668194216,0.0003,0.2,-1.1996332738548516,1.4480869770050049,480,0.0751953125,0.7470278739929199,0.008387245,4.902704649791121,-14.157348442077637,66.6
172,-11.607067270000002,49,100352,67.45,581,,,,,,,,,,,,
175,-11.699911810000001,50,102400,68.17,581,-0.013687082314572763,0.0003,0.2,-1.2177036009728908,2.4947972297668457,490,0.097509765625,0.7265148758888245,0.010799458,5.216238174587488,,
179,-12.88815727,51,104448,68.56,582,-0.01181695315608522,0.0003,0.2,-1.200047118216753,1.6339391469955444,500,0.10703125,0.7177116870880127,0.008173408,4.228003773093223,,
182,-12.653853049999999,52,106496,69.16,582,-0.010072720852622296,0.0003,0.2,-1.1953044313937427,1.657795786857605,510,0.09833984375,0.7386289238929749,0.009071935,3.5169414553791283,,
186,-13.035103239999998,53,108544,68.16,582,-0.009286047269415575,0.0003,0.2,-1.2023973632603884,0.9502686858177185,520,0.127001953125,0.6411360502243042,0.01059592,3.0836782440543176,,
,,,110000,,,-0.010196581954369321,0.0003,0.2,-1.1804159451276064,1.2500348091125488,530,0.090478515625,0.7704159021377563,0.008704795,4.466315821930766,-15.30356674194336,73.8
190,-13.230354250000003,54,110592,68.98,581,,,,,,,,,,,,
193,-13.088992609999998,55,112640,68.05,581,-0.009376873758446891,0.0003,0.2,-1.1782916251569986,1.5902684926986694,540,0.0794921875,0.7879750728607178,0.0096766865,4.264174420014024,,
197,-12.39715836,56,114688,67.66,582,-0.009220457378978609,0.0003,0.2,-1.1679869908839464,0.9014499187469482,550,0.103271484375,0.7967748045921326,0.009258354,3.460308176651597,,
200,-12.288110569999999,57,116736,68.47,582,-0.006400987444067141,0.0003,0.2,-1.1542687460780143,0.7022230625152588,560,0.069921875,0.7289795875549316,0.010054308,3.270945942401886,,
203,-12.83408594,58,118784,67.92,582,-0.011604954316135263,0.0003,0.2,-1.08688557241112,1.3277473449707031,570,0.065576171875,0.7892428636550903,0.0079855025,5.302704339846969,,
,,,120000,,,-0.00702586279658135,0.0003,0.2,-1.1162043383345008,2.151211977005005,580,0.046240234375,0.6161484718322754,0.0063763987,6.856386314332485,-5.709348583221436,64.8
207,-12.19759186,59,120832,68.47,581,,,,,,,,,,,,
211,-11.53208074,60,122880,68.59,581,-0.0072262629866600035,0.0003,0.2,-1.1139833753928543,1.2801799774169922,590,0.062451171875,0.8198534250259399,0.008022996,3.787048938125372,,
214,-9.75166017,61,124928,68.14,582,-0.005848209370742552,0.0003,0.2,-1.108721522986889,0.8134806752204895,600,0.090625,0.8215147852897644,0.008067442,3.3125796891748904,,
218,-9.683691130000001,62,126976,67.8,582,-0.008419557700108271,0.0003,0.2,-1.108135580457747,1.2101105451583862,610,0.087158203125,0.7242879867553711,0.008668169,4.000228040665388,,
221,-8.899834559999999,63,129024,67.98,582,-0.01064759004075313,0.0003,0.2,-1.0984259758144617,1.017484188079834,620,0.094287109375,0.7276487350463867,0.010005005,3.2151841290295122,,
,,,130000,,,-0.006011263532127486,0.0003,0.2,-1.0842800710350275,0.897729754447937,630,0.105908203125,0.7391010522842407,0.012981004,2.9288587054237722,-1.581535315513611,65.4
225,-8.82284885,64,131072,68.71,581,,,,,,,,,,,,
228,-8.06925842,65,133120,68.02,581,-0.009329973105923272,0.0003,0.2,-1.072946641407907,0.5711091756820679,640,0.109521484375,0.8824461102485657,0.009930287,2.2221213202923535,,
232,-8.65435298,66,135168,68.32,581,-0.009849987959023565,0.0003,0.2,-1.0706354396417737,1.2852532863616943,650,0.100927734375,0.7599318027496338,0.008587392,3.036814878508449,,
235,-8.06657355,67,137216,67.38,581,-0.005314313273265725,0.0003,0.2,-1.0795523669570684,1.2614734172821045,660,0.086962890625,0.7813169956207275,0.011589352,3.954761141911149,,
239,-8.627612370000001,68,139264,67.41,581,-0.008933830253226915,0.0003,0.2,-1.0194967716932297,1.0888636112213135,670,0.08515625,0.6963106989860535,0.009476385,4.398400028049946,,
,,,140000,,,-0.005996396399859804,0.0003,0.2,-1.0189287399873137,1.249584674835205,680,0.05458984375,0.7558441162109375,0.0063544633,4.791752447187901,-5.10870201587677,66.6
243,-8.19418571,69,141312,67.87,580,,,,,,,,,,,,
246,-8.16407073,70,143360,67.84,580,-0.010939145477095735,0.0003,0.2,-1.0196340890601276,0.873365581035614,690,0.116845703125,0.7646877765655518,0.010784782,3.18440416790545,,
250,-8.98393383,71,145408,68.14,580,-0.009031359720393085,0.0003,0.2,-0.9908387346193195,1.2195355892181396,700,0.085888671875,0.7393769025802612,0.008270778,4.3028748512268065,,
253,-8.23673127,72,147456,67.53,580,-0.009322345611872151,0.0003,0.2,-1.0128089373931288,1.1039223670959473,710,0.08173828125,0.8189818263053894,0.00834452,4.283596368506551,,
257,-7.571904190000001,73,149504,67.59,580,-0.006724992398812901,0.0003,0.2,-1.0362136483192443,1.3630361557006836,720,0.079541015625,0.6607779264450073,0.008814489,4.147291591018439,,
,,,150000,,,-0.008116803220764269,0.0003,0.2,-0.9965371802449227,1.0462523698806763,730,0.10615234375,0.6202840209007263,0.010889223,3.0112135699018836,-5.989321851730347,66.6
261,-8.085904409999998,74,151552,68.95,578,,,,,,,,,,,,
265,-7.60337934,75,153600,68.56,578,-0.007695105427410453,0.0003,0.2,-0.9816736495122313,2.8655431270599365,740,0.119140625,0.7176405191421509,0.019743545,2.814677265100181,,
269,-8.30730412,76,155648,68.38,578,-0.009065666313836119,0.0003,0.2,-1.019454368762672,0.7473399043083191,750,0.07783203125,0.678560733795166,0.008040292,3.8481708623468878,,
272,-7.815039350000001,77,157696,66.54,578,-0.008478983465465717,0.0003,0.2,-0.9933562964200974,1.5212749242782593,760,0.090380859375,0.7737233638763428,0.007404063,5.299663890525698,,
276,-7.538668929999999,78,159744,66.0,578,-0.007396400390280178,0.0003,0.2,-0.9988213943317532,0.998836100101471,770,0.078857421875,0.5862934589385986,0.008316785,4.207030697911978,,
,,,160000,,,-0.006760938014485874,0.0003,0.2,-0.9722079761326313,0.652252733707428,780,0.08955078125,0.7815418243408203,0.010957504,2.8193397775292395,-14.860938119888306,68.4
280,-8.12506197,79,161792,66.55,576,,,,,,,,,,,,
284,-9.12721217,80,163840,67.3,576,-0.008204165518691298,0.0003,0.2,-0.9897422695532441,0.7882195115089417,790,0.11240234375,0.7409650087356567,0.011109128,3.1037088807672264,,
287,-9.886047310000002,81,165888,68.2,576,-0.00859237202530494,0.0003,0.2,-0.9935123890638351,1.2722970247268677,800,0.097998046875,0.6840862035751343,0.01173632,3.7634023103863,,
